ATPT_OFCDC_SC_CODE,ATPT_OFCDC_SC_NM,ADMST_ZONE_NM,ACA_INSTI_SC_NM,ACA_ASNUM,ACA_NM,ESTBL_YMD,REG_YMD,REG_STTUS_NM,CAA_BEGIN_YMD,CAA_END_YMD,TOFOR_SMTOT,DTM_RCPTN_ABLTY_NMPR_SMTOT,REALM_SC_NM,LE_ORD_NM,LE_CRSE_LIST_NM,LE_CRSE_NM,PSNBY_THCC_CNTNT,THCC_OTHBC_YN,BRHS_ACA_YN,FA_RDNMA,FA_RDNDA,FA_RDNZC,FA_TELNO,LOAD_DTM,lat,lng,geocode_source
B10,서울특별시교육청,강남구,교습소,3000040501,301아카데미(Academy)영어교습소,20211228,20211228,개원,        ,99991231,24,9,입시.검정 및 보습,보통교과,문법 영어,보습,"문법 영어:268000, 리딩:268000, 수능독해:268000, 중학내신:268000, 리스닝:192000, 스피킹:192000",Y,N,서울특별시 강남구 개포로82길 7,", 3층 301호 (개포동, 삼성빌딩)",6329,02-0000-0000,20231018,37.48870191189,127.067287344121,rdnma
B10,서울특별시교육청,강남구,교습소,3000051471,3030영어교습소,20241122,20241122,개원,        ,        ,0,5,입시.검정 및 보습,,,, ,Y, ,서울특별시 강남구 광평로10길 15,", 115호(일원동,상록수아파트단지내상가동)",6360,010-5435-5177,20241215,37.482899384108,127.083445404216,rdnma
B10,서울특별시교육청,강남구,교습소,3000050966,365국어교습소,20240820,20240820,개원,        ,        ,0,5,입시.검정 및 보습,,,, ,Y, ,서울특별시 강남구 삼성로 150,", 158호, 165호(대치동,한보종합상가)",6288,010-2888-0365,20240908,37.4956953356085,127.068564672209,rdnma
B10,서울특별시교육청,강남구,교습소,3000042042,365필름아트진학상담지도교습소,20220808,20220808,개원,        ,99991231,6,6,입시.검정 및 보습,보통교과,진학상담지도1,진학상담지도,"진학상담지도1:700000, 진학상담지도2:700000, 진학상담지도3:700000",Y,N,서울특별시 강남구 논현로136길 3,3층 302호(논현동),6051,,20251005,37.5159608884191,127.03033732079,rdnma
B10,서울특별시교육청,강남구,교습소,3000042509,BT수학전문수학교습소,20221027,20221027,개원,        ,99991231,36,9,입시.검정 및 보습,보통교과,,보습, ,Y,N,서울특별시 강남구 선릉로 38,", 4층 일부 (개포동, 오성빌딩)",6325,02-0000-0000,20231018,37.4831580387932,127.060395404774,rdnma
B10,서울특별시교육청,강남구,교습소,3000035363,GLMA글로벌인생만남논술교습소,20191014,20191014,개원,        ,99991231,25,5,입시.검정 및 보습,보통교과,,보습·논술, ,Y,N,서울특별시 강남구 일원로5길 71,", 1층 전체 (일원동)",6342,02-0000-0000,20231018,37.4927193284393,127.085654010667,rdnma
B10,서울특별시교육청,강남구,교습소,3000036123,HSC진학상담지도교습소,20200117,20200117,개원,        ,99991231,2,8,입시.검정 및 보습,진학지도,입시원서,진학상담지도,"입시원서:15120000, 원서:7560000",Y,N,서울특별시 강남구 논현로175길 64,", 6층 전체 (신사동)",6029,02-0000-0000,20250518,37.5242514413408,127.023764876946,rdnma
B10,서울특별시교육청,강남구,교습소,3000012510,IG수학교습소,20111117,20111117,개원,        ,99991231,24,5,입시.검정 및 보습,보통교과,수학,보습,"수학:540000, 수학:800000, 수학:400000",Y,N,서울특별시 강남구 삼성로64길 5,", 2층 204호 전체 (대치동, 대치현대아파트)",6191,02-558-6799,20250608,37.5004474963781,127.060513822972,rdnma
B10,서울특별시교육청,강남구,교습소,3000035664,J바이올린음악교습소,20191113,20191113,개원,        ,99991231,7,1,예능(대),예능(중),,음악, ,Y,N,서울특별시 강남구 압구정로 309,", B동 203-3호 (압구정동, 현대아파트)",6006,070-8861-7387,20231018,37.5319211463698,127.035538506088,rdnma
B10,서울특별시교육청,강남구,교습소,3000039880,LYS잉글리쉬(English)영어교습소,20210930,20210930,개원,        ,99991231,5,6,입시.검정 및 보습,보통교과,,보습, ,Y,N,서울특별시 강남구 논현로161길 14,", 3층 (신사동)",6031,,20231018,37.5235968740667,127.027063514056,rdnma
B10,서울특별시교육청,강남구,교습소,3000041808,S2수학교습소,20220708,20220708,개원,        ,99991231,9,6,입시.검정 및 보습,보통교과,,보습, ,Y,N,서울특별시 강남구 삼성로67길 3,", 201호 (대치동)",6203,02-0000-0000,20231018,37.5011029671157,127.059112020222,rdnma
B10,서울특별시교육청,강남구,교습소,3000037505,SCMA음악교습소,20200907,20200907,개원,        ,99991231,54,9,예능(대),예능(중),피아노중급,음악,"피아노중급:200000, 피아노입시:250000, 작곡중급:300000, 작곡입시:350000, 미디작곡:400000, 미디입시:500000",Y,N,서울특별시 강남구 압구정로54길 14,", 5층 전체 (신사동)",6018,,20231018,37.5269898470152,127.03932150796,rdnma
B10,서울특별시교육청,강남구,교습소,3000041209,SJ EMI영어교습소,20220404,20220404,개원,        ,99991231,3,3,입시.검정 및 보습,보통교과,,보습, ,Y,N,서울특별시 강남구 광평로10길 6,", 한솔상가 202호 (일원동, 한솔마을아파트)",6359,070-8861-3958,20231018,37.4826291743574,127.076520309277,rdnma
B10,서울특별시교육청,강남구,교습소,3000030619,SJ수학교습소,20171220,20171220,개원,        ,99991231,4,4,입시.검정 및 보습,보통교과,,보습, ,Y,N,서울특별시 강남구 광평로10길 6,", 207호 (일원동, 한솔마을상가동)",6359,070-8861-3958,20231018,37.4826291743574,127.076520309277,rdnma
B10,서울특별시교육청,강남구,교습소,3000041017,가나국어교습소,20220310,20220310,개원,        ,99991231,12,7,입시.검정 및 보습,보통교과,,보습, ,Y,N,서울특별시 강남구 역삼로 315,", 207호, 208호 (역삼동, 개나리아파트)",6213,02-0000-0000,20231018,37.5005551755633,127.050314621923,rdnma
B10,서울특별시교육청,강남구,교습소,3000025167,가온수학교습소,20160111,20160111,개원,        ,99991231,4,4,입시.검정 및 보습,보통교과,,보습, ,Y,N,서울특별시 강남구 역삼로64길 18,", 302호 (대치동)",6199,02-0000-0000,20231018,37.4998913836971,127.053039632164,rdnma
B10,서울특별시교육청,강남구,교습소,3000051416,감각의논리미술교습소,20241113,20241113,개원,        ,        ,0,9,예능(대),,,, ,Y, ,서울특별시 강남구 남부순환로 2927,(대치동) 2층 217호,6280,02-555-5456,20241215,37.4936757916501,127.060358414855,rdnma
B10,서울특별시교육청,강남구,교습소,22530,감성예찬미술교습소,20081121,20081121,개원,        ,99991231,4,9,예능(대),예능(중),미술,미술,미술:150000,N,N,서울특별시 강남구 도곡로93길 12,", 301호 (대치동,우성2차아파트)",135519,02-564-2575,20231018,37.5015123626981,127.065474666225,rdnma
B10,서울특별시교육청,강남구,교습소,3000043161,강남리드인독서논술교습소,20230126,20230126,개원,        ,99991231,36,9,입시.검정 및 보습,보통교과,"독서논술(초,중등)1",보습·논술,"독서논술(초,중등)1:150000, 독서논술(초,중등)2:140000, 독서논술(초,중등)3:160000, 독서논술(초,중등)4:200000, 독서논술(초,중등)5:250000, 독서논술(초,중등)6:300000, 비문학독해:100000, 듣기트레이닝:100000, 한국사:100000",Y,N,서울특별시 강남구 자곡로 108,", 1층 110호, 111호 (자곡동, 미라클빌딩)",6373,02-0000-0000,20250518,37.4719990515054,127.095369167039,rdnma
B10,서울특별시교육청,강남구,교습소,2000002315,강남미술교습소,20010406,20010406,개원,        ,99991231,9,9,예능(대),예능(중),초등미술,미술,초등미술:200000,Y,N,서울특별시 강남구 역삼로 306,", 403호 (역삼동)",6216,02-543-8843,20231018,37.4989772734253,127.046959597261,rdnma
B10,서울특별시교육청,강남구,교습소,3171,강남세고비아기타교습소,20031016,20031016,개원,        ,99991231,32,6,예능(대),예능(중),,음악, ,N,N,서울특별시 강남구 삼성로 212,", A블럭 220호 (대치동,은마아파트상가)",135969,02-538-3151,20231018,37.4996157705058,127.065915414443,rdnma
B10,서울특별시교육청,강남구,교습소,3000040256,강남스카이(sky)영어교습소,20211201,20211201,개원,        ,99991231,35,5,입시.검정 및 보습,보통교과,영어초중고,보습,"영어초중고:400000, 영어중고:250000, 영어초중:500000, 영어고:200000, 영어심화:400000, 영어초중고:400000, 영어:350000",Y,N,서울특별시 강남구 자곡로 106,", 301호 (자곡동, S-플라자)",6373,02-000-0000,20231018,37.4719202556716,127.094980749582,rdnma
B10,서울특별시교육청,강남구,교습소,3000024217,강남쎈수학교습소,20150903,20150903,개원,        ,99991231,12,4,입시.검정 및 보습,보통교과,,보습, ,Y,N,서울특별시 강남구 헌릉로570길 34,", 303호일부 (세곡동)",135190,02-452-2220,20231018,37.4631480963128,127.103468343169,rdnma
B10,서울특별시교육청,강남구,교습소,3000033411,강남아첼바이올린음악교습소,20190104,20190104,개원,        ,99991231,27,9,예능(대),예능(중),바이올린초급,음악,"바이올린초급:280000, 바이올린중급:320000, 바이올린입시:500000, 작곡초급:280000, 작곡중급:320000, 작곡입시:500000, 피아노초급:280000, 피아노중급:320000, 피아노입시:500000",Y,N,서울특별시 강남구 선릉로 227,", 405호 일부 (도곡동)",6275,02-538-9550,20231105,37.4958391534271,127.052736077626,rdnma
B10,서울특별시교육청,강남구,교습소,3000050945,강남은마한우리독서토론논술교습소,20240813,20240813,개원,        ,        ,0,6,입시.검정 및 보습,,,, ,Y, ,서울특별시 강남구 삼성로 212,", 은마상가 B블럭 219호 일부(우측)(대치동,은마아파트)",6284,02-0000-0000,20250608,37.4996157705058,127.065915414443,rdnma
B10,서울특별시교육청,강남구,교습소,3000027864,강남일원스즈키바이올린음악교습소,20161223,20161223,개원,        ,99991231,14,7,예능(대),예능(중),,음악, ,Y,N,서울특별시 강남구 광평로19길 10,", 203호(까치마을아파트상가) (수서동)",6354,02-4595-285,20231018,37.485485349127,127.086601738647,rdnma
B10,서울특별시교육청,강남구,교습소,3000052955,강남코리코딩교습소,20250725,20250725,개원,        ,        ,0,5,기타(대),,,, ,Y, ,서울특별시 강남구 광평로10길 50,"1층 24호, 24-1호, 24-1A호(일원동,청솔빌리지)",6363,02-6402-0201,20250803,37.4810628141645,127.083252401714,rdnma
B10,서울특별시교육청,강남구,교습소,3000011385,강성호올림피아드과학교습소,20110630,20110630,개원,        ,99991231,6,6,입시.검정 및 보습,보통교과,과학,보습, ,Y,N,서울특별시 강남구 선릉로62길 30,", 501호 (대치동, 드림빌)",6207,02-558-1881,20231018,37.4977714813696,127.055041908005,rdnma
