gu,bjd,apt_name_raw,apt_name_clean,matched_name,matched_addr,matched_road,lat,lng,match_level,query
종로구,사직동,광화문스페이스본(101동~105동),광화문스페이스본,광화문스페이스본1단지아파트,서울 종로구 사직동 9,서울 종로구 사직로8길 4,37.57441742229257,126.9688830179272,3,광화문스페이스본 종로구 사직동
종로구,평창동,벽산블루밍평창힐스,벽산블루밍평창힐스,벽산평창힐스아파트,서울 종로구 평창동 45,서울 종로구 평창문화로 118,37.60814454207827,126.9737479184749,3,벽산블루밍평창힐스 종로구 평창동
종로구,창신동,동대문,동대문,동대문 문구완구시장,서울 종로구 창신동 390-29,서울 종로구 종로52길 36,37.57123111690101,127.01444849541852,3,동대문 종로구 창신동
종로구,평창동,롯데낙천대,롯데낙천대,롯데낙천대아파트,서울 종로구 평창동 72,서울 종로구 평창문화로 140,37.60913604488284,126.97568195953431,3,롯데낙천대 종로구 평창동
종로구,평창동,삼성,삼성,삼성아파트,서울 종로구 평창동 596,서울 종로구 평창문화로 172,37.610927789698835,126.97867137084032,3,삼성 종로구 평창동
종로구,숭인동,익성씨티하임,익성씨티하임,익성씨티하임,서울 종로구 숭인동 1392,서울 종로구 난계로29가길 17,37.57371565995977,127.02272057226163,3,익성씨티하임 종로구 숭인동
종로구,효제동,포레스트힐시티,포레스트힐시티,포레스트힐시티,서울 종로구 효제동 65-2,서울 종로구 대학로 33,37.57421518130064,127.0018316043902,3,포레스트힐시티 종로구 효제동
종로구,견지동,대성스카이렉스,대성스카이렉스,종로1가대성스카이렉스아파트,서울 종로구 견지동 110,서울 종로구 삼봉로 95,37.57230290685728,126.98262623900952,3,대성스카이렉스 종로구 견지동
종로구,숭인동,종로동광모닝스카이,종로동광모닝스카이,종로동광모닝스카이,서울 종로구 숭인동 1421-1,서울 종로구 난계로29가길 24,37.5734481300193,127.02237749319278,3,종로동광모닝스카이 종로구 숭인동
종로구,숭인동,삼전솔하임2차,삼전솔하임2차,삼전솔하임2차,서울 종로구 숭인동 296-19,서울 종로구 종로58가길 27,37.57241021813793,127.01673081547813,3,삼전솔하임2차 종로구 숭인동
