년월,기준금리,CD금리,소비자물가지수,M2
201901,1.75,1.87,98.884,2534604.3
201902,1.75,1.87,99.311,2557838.7
201903,1.75,1.9,99.121,2574809.3
201904,1.75,1.86,99.481,2575258.9
201905,1.75,1.84,99.652,2584430.1
201906,1.75,1.8,99.491,2616815.2
201907,1.5,1.68,99.187,2616975.6
201908,1.5,1.49,99.425,2653920.5
201909,1.5,1.54,99.794,2656927.8
201910,1.25,1.46,100.041,2678664.1
201911,1.25,1.52,99.481,2713204.2
201912,1.25,1.53,99.719,2710347.8
202001,1.25,1.47,100.09,2730286.7
202002,1.25,1.42,100.16,2783775.4
202003,0.75,1.23,99.94,2811753.0
202004,0.75,1.1,99.5,2843475.9
202005,0.5,1.02,99.44,2905728.9
202006,0.5,0.79,99.71,2922153.8
202007,0.5,0.79,99.63,2928938.7
202008,0.5,0.68,100.19,2944029.7
202009,0.5,0.63,100.74,2976465.4
202010,0.5,0.63,100.18,3007490.4
202011,0.5,0.66,100.09,3031323.1
202012,0.5,0.66,100.33,3029731.1
202101,0.5,0.68,101.04,3065627.7
202102,0.5,0.73,101.58,3111372.4
202103,0.5,0.75,101.84,3141586.6
202104,0.5,0.74,101.98,3168232.7
202105,0.5,0.68,102.05,3200254.5
202106,0.5,0.66,102.05,3214637.4
202107,0.5,0.69,102.26,3245274.1
202108,0.75,0.77,102.75,3277432.5
202109,0.75,0.98,103.17,3292224.7
202110,0.75,1.08,103.35,3358440.6
202111,1.0,1.17,103.87,3386557.5
202112,1.0,1.27,104.04,3385251.3
202201,1.25,1.39,104.85,3435115.9
202202,1.25,1.5,105.42,3466040.4
202203,1.25,1.5,106.1,3474014.8
202204,1.5,1.64,106.83,3505950.6
202205,1.75,1.77,107.5,3534874.3
202206,1.75,1.99,108.21,3547631.3
202207,2.25,2.41,108.73,3565585.9
202208,2.5,2.79,108.63,3575800.6
202209,2.5,3.01,108.82,3594473.7
202210,3.0,3.69,109.16,3630864.8
202211,3.25,3.99,109.07,3671114.4
202212,3.25,4.02,109.26,3639590.9
202301,3.5,3.8,110.07,3644699.2
202302,3.5,3.52,110.33,3676779.3
202303,3.5,3.61,110.52,3657697.7
202304,3.5,3.5,110.77,3649624.5
202305,3.5,3.64,111.13,3650078.5
202306,3.5,3.75,111.16,3682893.8
202307,3.5,3.75,111.29,3671537.4
202308,3.5,3.7,112.28,3680056.6
202309,3.5,3.76,112.85,3691141.9
202310,3.5,3.82,113.27,3716424.7
202311,3.5,3.83,112.68,3746138.9
202312,3.5,3.83,112.73,3735167.9
202401,3.5,3.74,113.17,3729712.2
202402,3.5,3.69,113.78,3783107.7
202403,3.5,3.65,113.95,3822135.9
202404,3.5,3.57,114.01,3784132.0
202405,3.5,3.6,114.1,3808290.0
202406,3.5,3.6,113.84,3826247.0
202407,3.5,3.54,114.13,3814239.4
202408,3.5,3.5,114.54,3840923.4
202409,3.5,3.52,114.65,3840547.4
202410,3.25,3.43,114.69,3867980.1
202411,3.0,3.42,114.4,3891294.6
202412,3.0,3.35,114.91,3896522.7
202501,3.0,3.04,115.71,3903317.9
202502,2.75,2.95,116.08,3921166.8
202503,2.75,2.84,116.29,3920129.5
202504,2.75,2.74,116.38,3930369.6
202505,2.5,2.67,116.27,3965821.8
202506,2.5,2.57,116.31,3975620.0
202507,2.5,2.51,116.52,3997670.5
202508,2.5,2.51,116.45,4056713.2
202509,2.5,2.56,117.06,4059617.6
202510,2.5,2.55,117.42,4050412.1
202511,2.5,2.69,117.2,4081033.5
202512,2.5,2.84,117.57,4099933.2
