adm_nm,공원수
서울특별시 강남구 대치2동,1
서울특별시 강남구 도곡1동,1
서울특별시 강남구 삼성1동,1
서울특별시 강남구 세곡동,1
서울특별시 강남구 압구정동,1
서울특별시 강남구 일원본동,2
서울특별시 강남구 청담동,1
서울특별시 강동구 고덕2동,1
서울특별시 강동구 길동,2
서울특별시 강동구 둔촌2동,1
서울특별시 강동구 명일1동,1
서울특별시 강동구 상일제1동,1
서울특별시 강동구 천호2동,1
서울특별시 강북구 번2동,1
서울특별시 강북구 번3동,1
서울특별시 강북구 우이동,1
서울특별시 강서구 가양1동,2
서울특별시 강서구 가양2동,1
서울특별시 강서구 등촌1동,1
서울특별시 강서구 방화3동,3
서울특별시 강서구 염창동,1
서울특별시 강서구 화곡6동,1
서울특별시 강서구 화곡본동,1
서울특별시 관악구 대학동,2
서울특별시 광진구 광장동,1
서울특별시 광진구 능동,1
서울특별시 구로구 개봉3동,1
서울특별시 구로구 고척2동,1
서울특별시 구로구 오류1동,1
서울특별시 구로구 항동,1
서울특별시 금천구 독산3동,1
서울특별시 금천구 독산4동,2
서울특별시 금천구 시흥3동,1
서울특별시 노원구 공릉2동,1
서울특별시 도봉구 도봉2동,1
서울특별시 도봉구 쌍문1동,1
서울특별시 도봉구 쌍문4동,1
서울특별시 도봉구 창1동,2
서울특별시 도봉구 창4동,1
서울특별시 동대문구 답십리1동,1
서울특별시 동대문구 용신동,1
서울특별시 동대문구 전농2동,1
서울특별시 동작구 노량진1동,1
서울특별시 동작구 대방동,1
서울특별시 동작구 사당2동,1
서울특별시 동작구 사당3동,1
서울특별시 동작구 사당5동,1
서울특별시 동작구 상도3동,1
서울특별시 동작구 신대방2동,1
서울특별시 마포구 상암동,2
서울특별시 마포구 서강동,1
서울특별시 마포구 성산2동,1
서울특별시 마포구 합정동,1
서울특별시 서대문구 연희동,2
서울특별시 서대문구 천연동,1
서울특별시 서대문구 홍은2동,1
서울특별시 서초구 내곡동,2
서울특별시 서초구 양재1동,1
서울특별시 서초구 양재2동,2
서울특별시 성동구 금호1가동,1
서울특별시 성동구 금호2·3가동,1
서울특별시 성동구 금호4가동,1
서울특별시 성동구 성수1가1동,1
서울특별시 성동구 성수2가3동,1
서울특별시 성북구 돈암1동,1
서울특별시 성북구 성북동,1
서울특별시 성북구 월곡2동,1
서울특별시 성북구 정릉4동,1
서울특별시 송파구 가락2동,1
서울특별시 송파구 마천2동,1
서울특별시 송파구 문정1동,1
서울특별시 송파구 오금동,1
서울특별시 송파구 오륜동,1
서울특별시 송파구 잠실3동,1
서울특별시 송파구 잠실7동,1
서울특별시 양천구 목2동,1
서울특별시 양천구 목5동,1
서울특별시 양천구 신월3동,1
서울특별시 양천구 신정3동,1
서울특별시 양천구 신정7동,1
서울특별시 영등포구 양평2동,1
서울특별시 영등포구 여의동,2
서울특별시 영등포구 영등포동,1
서울특별시 영등포구 영등포본동,1
서울특별시 용산구 서빙고동,1
서울특별시 용산구 용산2가동,1
서울특별시 용산구 효창동,1
서울특별시 은평구 갈현1동,1
서울특별시 은평구 불광1동,1
서울특별시 은평구 신사2동,1
서울특별시 은평구 진관동,3
서울특별시 종로구 사직동,3
서울특별시 종로구 삼청동,2
서울특별시 종로구 숭인1동,1
서울특별시 종로구 이화동,2
서울특별시 종로구 종로1·2·3·4가동,2
서울특별시 종로구 청운효자동,1
서울특별시 종로구 혜화동,1
서울특별시 중구 을지로동,1
서울특별시 중구 중림동,1
서울특별시 중랑구 망우본동,1
서울특별시 중랑구 면목3·8동,1
서울특별시 중랑구 면목4동,1
서울특별시 중랑구 면목7동,1
서울특별시 중랑구 신내2동,1
