school_name,school_type,gu,dong,address,address_detail,founded,lat,lng,geocode_source
가락고등학교,고등학교,송파구,송파동,서울특별시 송파구 송이로 42,(송파동/가락고등학교),19881223,37.5010563298142,127.116425801136,addr
가락중학교,중학교,송파구,송파동,서울특별시 송파구 송이로 45,(송파동/가락중학교),19860129,37.5023397085349,127.11897125744,addr
가산중학교,중학교,금천구,독산동,서울특별시 금천구 시흥대로115길 48,(독산동),19700810,37.468777055274,126.894474890365,addr
가원중학교,중학교,송파구,가락동,서울특별시 송파구 중대로10길 40-18,(가락동/가원중학교),19881224,37.4909683312292,127.122978948911,addr
가재울고등학교,고등학교,서대문구,북가좌동,서울특별시 서대문구 수색로 100-35,(북가좌동),20130301,37.5743637013203,126.909529666957,addr
가재울중학교,중학교,서대문구,북가좌동,서울특별시 서대문구 수색로 100-75,(북가좌동/ 가재울중학교),20130301,37.5750983516219,126.909974232219,addr
강남중학교,중학교,동작구,대방동,서울특별시 동작구 대방동15길 29,(대방동/ 강남중학교),19590403,37.5027626308253,126.923346619702,addr
강동고등학교,고등학교,강동구,상일동,서울특별시 강동구 구천면로 572,(상일동),19841217,37.5499166487971,127.160668324892,addr
강동중학교,중학교,강동구,강일동,서울특별시 강동구 풍산로 237,/ 강동중학교 (강일동),20100301,37.5696502492074,127.177836046342,addr
강명중학교,중학교,강동구,강일동,서울특별시 강동구 상일로12길 56,(강일동/ 강명중학교),20120301,37.5556127825867,127.174608361426,addr
강북중학교,중학교,강북구,수유동,서울특별시 강북구 한천로150길 67,(수유동/ 강북중학교),19801227,37.6449158953693,127.025373389048,addr
강빛중학교,중학교,강동구,강일동,서울특별시 강동구 아리수로93다길 1,"(강일동, 강빛초중통합학교)",20210301,37.5743433210453,127.170774922577,addr
강서고등학교,고등학교,양천구,목동,서울특별시 양천구 목동중앙남로 27,/ 강서고등학교 (목동),19831101,37.5363155693554,126.865771125825,addr
