gu,dong,각종학교(고)수,각종학교(중)수,각종학교(초)수,고등기술학교수,고등학교수,공동실습소수,방송통신고등학교수,방송통신중학교수,외국인학교수,중학교수,초등학교수,특수학교수,평생학교(고)-2년6학기수,평생학교(고)-3년6학기수,평생학교(중)-2년6학기수,평생학교(초)-3년6학기수
강남구,개포동,0,1,0,0,4,0,1,0,1,3,7,0,0,0,0,0
강남구,논현동,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
강남구,대치동,0,0,0,0,3,0,0,0,0,4,4,0,0,0,0,0
강남구,도곡동,0,0,0,0,3,0,0,0,0,3,2,0,0,0,0,0
강남구,삼성동,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0
강남구,세곡동,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
강남구,수서동,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0
강남구,신사동,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
강남구,압구정동,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0
강남구,역삼동,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0
강남구,일원동,0,0,0,0,3,0,0,0,0,0,4,1,0,0,0,0
강남구,자곡동,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0
강남구,중동,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
강남구,청담동,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0
강동구,강일동,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0
강동구,고덕동,0,0,0,0,3,0,0,0,0,3,4,1,0,0,0,0
강동구,길동,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
강동구,둔촌동,0,0,0,0,2,0,0,0,0,3,4,0,0,0,0,0
강동구,명일동,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0
강동구,상일동,0,0,0,0,5,0,0,0,0,2,3,1,0,0,0,0
강동구,성내동,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
강동구,암사동,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0
강동구,천호동,0,0,0,0,1,0,0,0,0,4,3,0,0,0,0,0
강북구,미아동,0,0,0,0,5,0,0,0,0,5,7,2,0,0,0,0
강북구,번동,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
강북구,송중동,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
강북구,수유동,0,0,0,0,1,0,0,0,0,4,3,2,0,0,0,0
강북구,우이동,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
강서구,가양동,0,1,0,0,3,0,0,0,0,2,2,1,0,0,0,0
강서구,공항동,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
강서구,내발산동,0,0,0,0,8,0,0,0,0,4,4,0,0,0,0,0
강서구,등촌동,0,0,0,0,6,0,0,0,0,4,8,0,0,0,0,0
강서구,마곡동,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0
강서구,방화동,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,0
강서구,염창동,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
강서구,화곡동,0,0,0,0,2,0,0,0,0,1,8,1,0,0,0,0
관악구,남현동,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
관악구,봉천동,0,0,0,0,9,0,0,0,0,7,9,1,0,0,0,0
관악구,신림동,2,0,0,0,7,0,0,0,0,9,11,1,0,0,0,0
광진구,광장동,0,0,0,0,1,0,0,0,1,2,3,0,0,0,0,0
광진구,구의동,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0
광진구,군자동,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
광진구,능동,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
광진구,자양동,0,0,0,0,2,0,0,0,0,4,7,0,0,0,0,0
광진구,중곡동,0,0,0,0,3,0,0,0,0,2,4,0,0,0,0,0
광진구,화양동,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
