school_name,school_type,gu,dong,address,address_detail,founded
가락고등학교,고등학교,송파구,송파동,서울특별시 송파구 송이로 42,(송파동/가락고등학교),19881223
가락중학교,중학교,송파구,송파동,서울특별시 송파구 송이로 45,(송파동/가락중학교),19860129
가산중학교,중학교,금천구,독산동,서울특별시 금천구 시흥대로115길 48,(독산동),19700810
가원중학교,중학교,송파구,가락동,서울특별시 송파구 중대로10길 40-18,(가락동/가원중학교),19881224
가재울고등학교,고등학교,서대문구,북가좌동,서울특별시 서대문구 수색로 100-35,(북가좌동),20130301
가재울중학교,중학교,서대문구,북가좌동,서울특별시 서대문구 수색로 100-75,(북가좌동/ 가재울중학교),20130301
강남중학교,중학교,동작구,대방동,서울특별시 동작구 대방동15길 29,(대방동/ 강남중학교),19590403
강동고등학교,고등학교,강동구,상일동,서울특별시 강동구 구천면로 572,(상일동),19841217
강동중학교,중학교,강동구,강일동,서울특별시 강동구 풍산로 237,/ 강동중학교 (강일동),20100301
강명중학교,중학교,강동구,강일동,서울특별시 강동구 상일로12길 56,(강일동/ 강명중학교),20120301
강북중학교,중학교,강북구,수유동,서울특별시 강북구 한천로150길 67,(수유동/ 강북중학교),19801227
강빛중학교,중학교,강동구,강일동,서울특별시 강동구 아리수로93다길 1,"(강일동, 강빛초중통합학교)",20210301
강서고등학교,고등학교,양천구,목동,서울특별시 양천구 목동중앙남로 27,/ 강서고등학교 (목동),19831101
강신중학교,중학교,양천구,신월동,서울특별시 양천구 남부순환로 604,(신월동/강신중학교),19881224
강일고등학교,고등학교,강동구,강일동,서울특별시 강동구 아리수로98길 40,(강일동),20100301
강일중학교,중학교,강동구,암사동,서울특별시 강동구 고덕로27길 12,(암사동414-17),19821209
강현중학교,중학교,동작구,상도동,서울특별시 동작구 상도로13라길 22,/ 강현중학교 (상도동),19680806
개봉중학교,중학교,구로구,개봉동,서울특별시 구로구 고척로21나길 68,(개봉동),19840504
개운중학교,중학교,성북구,돈암동,서울특별시 성북구 북악산로 935,(돈암동/개운중학교),20060301
개웅중학교,중학교,구로구,개봉동,서울특별시 구로구 개봉로11길 81,/ 개웅중학교 (개봉동/개웅중학교),19870212
개원중학교,중학교,강남구,개포동,서울특별시 강남구 영동대로 101,/ 개원중학교 (개포동/개원중학교),19841204
개포고등학교,고등학교,강남구,개포동,서울특별시 강남구 개포로 402,(개포동/ 개포고등학교),19870512
개포중학교,중학교,강남구,개포동,서울특별시 강남구 선릉로 9,(개포동/개포중학교),19821209
거원중학교,중학교,송파구,거여동,서울특별시 송파구 양산로2길 30,(거여동/거원중학교),19971220
건국대학교사범대학부속고등학교,고등학교,광진구,화양동,서울특별시 광진구 능동로 120,/ 건국대학교사범대학부속고등학교 (화양동),19800131
건국대학교사범대학부속중학교,중학교,광진구,,서울특별시 광진구 자양로 145-1,건국대학교사범대학부속중학교,19671230
경기고등학교,고등학교,강남구,삼성동,서울특별시 강남구 영동대로 643,/ 경기고등학교 (삼성동),19001003
경기기계공업고등학교,고등학교,노원구,하계동,서울특별시 노원구 공릉로 264,(하계동),19570215
경기기계공업고등학교부설미래기술교육센터,공동실습소,노원구,하계동,서울특별시 노원구 공릉로 264,(하계동/ 경기기계공업고등학교),19820601
경기상업고등학교,고등학교,종로구,청운동,서울특별시 종로구 자하문로 136,(청운동),19230206
경기여자고등학교,고등학교,강남구,개포동,서울특별시 강남구 삼성로 29,/ 경기여자고등학교 (개포동),19080401
경기여자고등학교부설방송통신고등학교,방송통신고등학교,강남구,개포동,서울특별시 강남구 삼성로 29,(개포동/경기여자고등학교),19740301
경기초등학교,초등학교,서대문구,,서울특별시 서대문구 경기대로9길 10,(충정로2가/경기초등학교),19641203
경동고등학교,고등학교,성북구,삼선동,서울특별시 성북구 보문로29길 49,(삼선동3가/ 경동고등학교),19400416
경동고등학교부설방송통신고등학교,방송통신고등학교,성북구,삼선동,서울특별시 성북구 보문로29길 49,(삼선동3가/ 경동고등학교),19741231
경문고등학교,고등학교,동작구,동작동,서울특별시 동작구 동작대로 171,/ 경문고등학교 (동작동),19800124
경복고등학교,고등학교,종로구,청운동,서울특별시 종로구 자하문로28가길 9,/ 경복고등학교 (청운동/경복고등학교),19210502
경복고등학교부설방송통신고등학교,방송통신고등학교,종로구,청운동,서울특별시 종로구 자하문로28가길 9,(청운동),19740323
경복비즈니스고등학교,고등학교,강서구,등촌동,서울특별시 강서구 화곡로 379,(등촌동),19721002
경복여자고등학교,고등학교,강서구,등촌동,서울특별시 강서구 화곡로63길 40,/ 경복여자고등학교 (등촌동),19931002
경복초등학교,초등학교,광진구,능동,서울특별시 광진구 천호대로130길 58,/ 경복초등학교 (능동),19650302
경서중학교,중학교,강서구,가양동,서울특별시 강서구 양천로59길 31,(가양동),19500901
경성고등학교,고등학교,마포구,연남동,서울특별시 마포구 성미산로 111,/ 경성고등학교 (연남동),19671229
경성중학교,중학교,마포구,연남동,서울특별시 마포구 성미산로 111,/ 경성중학교 (연남동/경성중고등학교),19670902
