BPLCNM,RDNWHLADDR,SITEWHLADDR,X,Y,UPTAENM
제주나다,"서울특별시 성북구 동소문로 315, 현대백화점미아점 지하1층 (길음동)",서울특별시 성북구 길음동 20-1 현대백화점미아점,202466.801084521,456227.571720914,백화점
베이크,"서울특별시 강남구 압구정로 165, 현대백화점본점 지하1층 (압구정동)",서울특별시 강남구 압구정동 429 현대백화점본점,202358.505687227,447232.955697694,백화점
즉석어묵,"서울특별시 동대문구 왕산로37길 27 (청량리동,현대코아지하1층21호 (청량시장3길 3))",서울특별시 동대문구 청량리동 774-0번지 현대코아지하1층21호 (청량시장3길 3) ,203793.67250079,453201.200861783,백화점
취영루푸드시스템,"서울특별시 동대문구 왕산로 214, 청량리역,롯데백화점 지하 2층 (전농동)","서울특별시 동대문구 전농동 591-53번지 청량리역,롯데백화점 ",204081.282117393,453187.395154017,백화점
영동족발 현대본점,"서울특별시 강남구 압구정로 165, 현대백화점본점 지하1층 일부호 (압구정동)",서울특별시 강남구 압구정동 429 현대백화점본점,202358.505687227,447232.955697694,백화점
부산빨간 어묵포차,"서울특별시 성북구 종암로 167, 지하2층 (하월곡동, 동일하이빌뉴시티)",서울특별시 성북구 하월곡동 230 동일하이빌뉴시티 ,202667.468802014,455858.920803881,백화점
찬합 현대백화점 미아점,"서울특별시 성북구 동소문로 315, 현대백화점미아점 지하1층 (길음동)",서울특별시 성북구 길음동 20-1 현대백화점미아점 ,202466.801084521,456227.571720914,백화점
(주)현대백화점 미아점,"서울특별시 성북구 동소문로 315 (길음동,외11필지 현대백화점)",서울특별시 성북구 길음동 20-1 외11필지 현대백화점 ,202466.801084521,456227.571720914,백화점
서만복닭강정,"서울특별시 성북구 동소문로 315, 현대백화점미아점 (길음동)",서울특별시 성북구 길음동 20-1 현대백화점미아점 ,202466.801084521,456227.571720914,백화점
마듀현대백화점 미아점,"서울특별시 성북구 동소문로 315, 현대백화점미아점 지하1층 (길음동)",서울특별시 성북구 길음동 20-1 현대백화점미아점 ,202466.801084521,456227.571720914,백화점
샤브진,"서울특별시 성북구 동소문로 315, 현대백화점미아점 (길음동)",서울특별시 성북구 길음동 20-1 현대백화점미아점 ,202466.801084521,456227.571720914,백화점
남포동수제비 미아점,"서울특별시 성북구 동소문로 315, 현대백화점미아점 지하1층 (길음동)",서울특별시 성북구 길음동 20-1 현대백화점미아점 ,202466.801084521,456227.571720914,백화점
크로붕,"서울특별시 성북구 동소문로 315, 현대백화점미아점 지하1층 (길음동)",서울특별시 성북구 길음동 20-1 현대백화점미아점 ,202466.801084521,456227.571720914,백화점
어니언 수제어묵,"서울특별시 성북구 동소문로 315, 현대백화점미아점 지하1층 (길음동)",서울특별시 성북구 길음동 20-1 현대백화점미아점 지하1층 ,202466.801084521,456227.571720914,백화점
장충동왕족발 하월곡점,"서울특별시 성북구 종암로 167, 동일하이빌뉴시티 지하1층 (하월곡동, 동일하이빌뉴시티)",서울특별시 성북구 하월곡동 230 동일하이빌뉴시티 ,202667.468802014,455858.920803881,백화점
리은푸드,"서울특별시 성북구 동소문로 315, 현대백화점미아점 지하1층 (길음동)",서울특별시 성북구 길음동 20-1 현대백화점미아점 ,202466.801084521,456227.571720914,백화점
에낭 현대 미아점,"서울특별시 성북구 동소문로 315, 현대백화점미아점 지하1층 (길음동)",서울특별시 성북구 길음동 20-1 현대백화점미아점 ,202466.801084521,456227.571720914,백화점
어니언수제어묵,"서울특별시 강북구 도봉로 62, 롯데백화점 미아점 지하2층 (미아동)",서울특별시 강북구 미아동 70-6 롯데백화점 미아점 ,202625.646264572,456875.973976242,백화점
나무그늘,"서울특별시 강북구 도봉로 62, 롯데백화점 미아점 지2층 (미아동)",서울특별시 강북구 미아동 70-6 롯데백화점 미아점 ,202625.646264572,456875.973976242,백화점
면채반 롯데미아점,서울특별시 강북구 도봉로 62 (미아동),서울특별시 강북구 미아동 70-6번지 ,202625.646264572,456875.973976242,백화점
