address_name,category_group_code,category_group_name,category_name,distance,id,phone,place_name,place_url,road_address_name,x,y
서울 중구 소공동 1,,,"가정,생활 > 백화점 > 롯데백화점",,7858517,1577-0001,롯데백화점 본점,http://place.map.kakao.com/7858517,서울 중구 남대문로 81,126.98175414832635,37.564905601247865
서울 송파구 잠실동 40-1,,,"가정,생활 > 백화점 > 롯데백화점",,26825558,1577-0001,롯데백화점 잠실점,http://place.map.kakao.com/26825558,서울 송파구 올림픽로 240,127.0985552869803,37.51201141930842
서울 서초구 반포동 19-3,,,"가정,생활 > 백화점 > 신세계백화점",,22386977,1588-1234,신세계백화점 강남점,http://place.map.kakao.com/22386977,서울 서초구 신반포로 176,127.00432032924516,37.505305732081965
서울 중구 충무로1가 52-5,,,"가정,생활 > 백화점 > 신세계백화점",,7969138,1588-1234,신세계백화점 본점 더 리저브,http://place.map.kakao.com/7969138,서울 중구 소공로 63,126.98108960513339,37.560948320099605
서울 동대문구 전농동 588-1,,,"가정,생활 > 백화점 > 롯데백화점",,16043099,1577-0001,롯데백화점 청량리점,http://place.map.kakao.com/16043099,서울 동대문구 왕산로 214,127.0476836634231,37.58082967458468
서울 영등포구 영등포동 618-496,,,"가정,생활 > 백화점 > 롯데백화점",,7858514,1577-0001,롯데백화점 영등포점,http://place.map.kakao.com/7858514,서울 영등포구 경인로 846,126.907291953523,37.5160148076443
서울 노원구 상계동 713,,,"가정,생활 > 백화점 > 롯데백화점",,22105323,1577-0001,롯데백화점 노원점,http://place.map.kakao.com/22105323,서울 노원구 동일로 1414,127.06133796050443,37.65507468704351
서울 영등포구 영등포동4가 434-5,,,"가정,생활 > 백화점 > 신세계백화점",,16908419,1588-1234,신세계백화점 타임스퀘어점,http://place.map.kakao.com/16908419,서울 영등포구 영중로 9,126.90556661901638,37.51719015109776
서울 강남구 삼성동 159-7,,,"가정,생활 > 백화점 > 현대백화점",,18384587,02-552-2233,현대백화점 무역센터점,http://place.map.kakao.com/18384587,서울 강남구 테헤란로 517,127.05977475920854,37.508651435836725
서울 서대문구 창천동 30-33,,,"가정,생활 > 백화점 > 현대백화점",,21695719,02-3145-2233,현대백화점 신촌점,http://place.map.kakao.com/21695719,서울 서대문구 신촌로 83,126.93581652251622,37.556153500544426
서울 강남구 대치동 937,,,"가정,생활 > 백화점 > 롯데백화점",,7863067,1577-0001,롯데백화점 강남점,http://place.map.kakao.com/7863067,서울 강남구 도곡로 401,127.053281143657,37.496959490738
서울 강남구 압구정동 429,,,"가정,생활 > 백화점 > 현대백화점",,21297272,02-547-2233,현대백화점 압구정본점,http://place.map.kakao.com/21297272,서울 강남구 압구정로 165,127.0274681898568,37.52737270067088
서울 양천구 목동 916,,,"가정,생활 > 백화점 > 현대백화점",,26825477,02-2163-2233,현대백화점 목동점,http://place.map.kakao.com/26825477,서울 양천구 목동동로 257,126.87525853214666,37.526654089298255
서울 강동구 천호동 572,,,"가정,생활 > 백화점 > 현대백화점",,13125937,02-488-2233,현대백화점 천호점,http://place.map.kakao.com/13125937,서울 강동구 천호대로 1005,127.1244432563588,37.538841968226784
서울 강북구 미아동 70-6,,,"가정,생활 > 백화점 > 롯데백화점",,10354328,1577-0001,롯데백화점 미아점,http://place.map.kakao.com/10354328,서울 강북구 도봉로 62,127.03051756499985,37.6145927958119
서울 관악구 봉천동 729-22,,,"가정,생활 > 백화점 > 롯데백화점",,10357233,1577-0001,롯데백화점 관악점,http://place.map.kakao.com/10357233,서울 관악구 봉천로 209,126.92497457633762,37.49046944308605
서울 성북구 길음동 20-1,,,"가정,생활 > 백화점 > 현대백화점",,8156625,02-2117-2233,현대백화점 미아점,http://place.map.kakao.com/8156625,서울 성북구 동소문로 315,127.028748311194,37.608482732465
서울 강서구 방화동 886,,,"가정,생활 > 백화점 > 롯데백화점",,15201961,1577-0001,롯데백화점 김포공항점,http://place.map.kakao.com/15201961,서울 강서구 하늘길 38,126.80324048423567,37.563122163882205
