address_name,category_group_code,category_group_name,category_name,distance,id,phone,place_name,place_url,road_address_name,x,y
서울 종로구 신문로1가 24,MT1,대형마트,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > 홈플러스익스프레스",3489,16932240,,홈플러스익스프레스 광화문점,http://place.map.kakao.com/16932240,서울 종로구 새문안로 91,126.974834204287,37.5705950181098
서울 종로구 사직동 9,MT1,대형마트,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > 하나로마트",2972,12264702,02-725-4008,서서울농협하나로마트 사직점,http://place.map.kakao.com/12264702,서울 종로구 사직로8길 4,126.96999114989003,37.57470692847596
서울 중구 충정로1가 85,MT1,대형마트,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > 하나로마트",3095,21309134,02-2080-6993,하나로마트 서대문점,http://place.map.kakao.com/21309134,서울 중구 통일로 120,126.967514803608,37.5656810025758
서울 중구 봉래동2가 122-23,MT1,대형마트,"가정,생활 > 대형마트 > 롯데마트",3909,8350043,02-390-2501,롯데마트 제타플렉스 서울역점,http://place.map.kakao.com/8350043,서울 중구 한강대로 405,126.97021254886772,37.55600861253633
서울 종로구 무악동 82,MT1,대형마트,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",2039,1150597949,02-722-0244,GS더프레시 무악현대점,http://place.map.kakao.com/1150597949,서울 종로구 통일로 246-10,126.95910013492632,37.574346863699475
서울 종로구 명륜2가 237,MT1,대형마트,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > 홈플러스익스프레스",1513,14930475,02-764-8545,홈플러스익스프레스 명륜2점,http://place.map.kakao.com/14930475,서울 종로구 혜화로3길 5,127.00039739655311,37.58520281585621
서울 중구 을지로6가 18-12,MT1,대형마트,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > 노브랜드",2373,1857164494,02-380-5111,노브랜드 동대문두타몰점,http://place.map.kakao.com/1857164494,서울 중구 장충단로 275,127.00880421396246,37.568961164350576
서울 종로구 동숭동 1-91,MT1,대형마트,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > 롯데슈퍼프레시",1446,2083824844,02-762-6533,롯데슈퍼프레시 대학로점,http://place.map.kakao.com/2083824844,서울 종로구 동숭길 63,127.004180920119,37.5809996082082
서울 중구 만리동2가 273,MT1,대형마트,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",3736,163685731,02-363-3731,GS더프레시 서울역센트럴자이점,http://place.map.kakao.com/163685731,서울 중구 만리재로 175,126.9652224204804,37.554171014933914
서울 중구 황학동 2545,MT1,대형마트,"가정,생활 > 대형마트 > 이마트",2053,8533171,02-2290-1234,이마트 청계천점,http://place.map.kakao.com/8533171,서울 중구 청계천로 400,127.02179955803058,37.57134801872825
서울 종로구 명륜1가 36-13,MT1,대형마트,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > 홈플러스익스프레스",1510,11058310,02-747-8545,홈플러스익스프레스 명륜점,http://place.map.kakao.com/11058310,서울 종로구 혜화로 17,126.999836961355,37.5871111194733
서울 마포구 신공덕동 173,MT1,대형마트,"가정,생활 > 대형마트 > 이마트",3563,26842386,02-2197-1234,이마트 마포점,http://place.map.kakao.com/26842386,서울 마포구 백범로 212,126.95375182689,37.5424342746309
서울 서대문구 홍제동 57-5,MT1,대형마트,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > 이마트에브리데이",4064,781449940,,이마트에브리데이 무악재점,http://place.map.kakao.com/781449940,서울 서대문구 통일로 339,126.95034598579527,37.58153163725224
서울 성북구 성북동 94-1,MT1,대형마트,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > 이마트에브리데이",1884,17259323,,이마트에브리데이 성북동점,http://place.map.kakao.com/17259323,서울 성북구 성북로 122,126.996204466506,37.5941243823412
서울 마포구 노고산동 57-1,MT1,대형마트,"가정,생활 > 대형마트 > 이마트",2733,1423436133,02-6288-1234,이마트 신촌점,http://place.map.kakao.com/1423436133,서울 마포구 신촌로 94,126.93599858704168,37.55500122359755
서울 서대문구 창천동 13-2,MT1,대형마트,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > 노브랜드",2795,1558106105,02-362-9560,노브랜드 서대문신촌점,http://place.map.kakao.com/1558106105,서울 서대문구 명물길 32,126.93841227903059,37.558092928150366
서울 성북구 삼선동1가 21,MT1,대형마트,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > 홈플러스익스프레스",907,14567779,02-3675-8543,홈플러스익스프레스 삼선점,http://place.map.kakao.com/14567779,서울 성북구 삼선교로 6,127.006589551002,37.5879326410287
서울 서대문구 홍제동 469,MT1,대형마트,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > 롯데슈퍼프레시",4036,25660139,02-739-6780,롯데슈퍼프레시 홍제점,http://place.map.kakao.com/25660139,서울 서대문구 통일로 397,126.94751873805507,37.58521817961202
서울 서대문구 대현동 144,MT1,대형마트,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",3668,1673680103,02-393-1008,GS더프레시 신촌이대역점,http://place.map.kakao.com/1673680103,서울 서대문구 이화여대길 50-12,126.949227454571,37.5598369984884
