학교명,도로명주소,학교종류,전화번호,홈페이지,설립구분
가락고등학교,서울특별시 송파구 송이로 42,고등학교,02-416-4658,http://garak.sen.hs.kr,공립
가락중학교,서울특별시 송파구 송이로 45,중학교,02-2143-3102,http://www.karak.ms.kr,공립
가산중학교,서울특별시 금천구 시흥대로115길 48,중학교,02-804-1777,http://www.gasan.ms.kr,공립
가원중학교,서울특별시 송파구 중대로10길 40-18,중학교,02-409-2179,www.gawon.ms.kr,공립
가재울고등학교,서울특별시 서대문구 수색로 100-35,고등학교,02-6351-0500,http://www.gajaeul.hs.kr,공립
가재울중학교,서울특별시 서대문구 수색로 100-75,중학교,02-726-1700,http://gajaeul.sen.ms.kr,공립
강남중학교,서울특별시 동작구 대방동15길 29,중학교,02-814-5637,http://www.kangnam.ms.kr,공립
강동고등학교,서울특별시 강동구 구천면로 572,고등학교,02-427-0231,http://kangdong.sen.hs.kr,사립
강동중학교,서울특별시 강동구 풍산로 237,중학교,02-481-1503,http://www.gang-dong.ms.kr,공립
강명중학교,서울특별시 강동구 상일로12길 56,중학교,02-440-3200,http://www.gangmyoung.ms.kr,공립
강북중학교,서울특별시 강북구 한천로150길 67,중학교,02-999-4104,http://www.kangbuk.ms.kr/,공립
강빛중학교,서울특별시 강동구 아리수로93다길 1,중학교,02-6951-3964,http://gbm.sen.ms.kr,공립
강서고등학교,서울특별시 양천구 목동중앙남로 27,고등학교,02-2642-0725,http://gangseo.sen.hs.kr,사립
강신중학교,서울특별시 양천구 남부순환로 604,중학교,02-2694-9623,http://kangsin.sen.ms.kr,공립
강일고등학교,서울특별시 강동구 아리수로98길 40,고등학교,02-428-6200,http://www.gang-il.hs.kr,공립
강일중학교,서울특별시 강동구 고덕로27길 12,중학교,02-441-4651,http://www.kangil.ms.kr,공립
강현중학교,서울특별시 동작구 상도로13라길 22,중학교,02-815-3939,http://sganghyeon.sen.ms.kr,공립
개봉중학교,서울특별시 구로구 고척로21나길 68,중학교,02-3660-2400,http://gaebong.sen.ms.kr,공립
개운중학교,서울특별시 성북구 북악산로 935,중학교,02-3291-5492,http://www.gw.ms.kr,공립
개웅중학교,서울특별시 구로구 개봉로11길 81,중학교,02-2613-3342,http://www.kaewoong.ms.kr,공립
개원중학교,서울특별시 강남구 영동대로 101,중학교,02-3411-8321,http://gaewon.sen.ms.kr,공립
개포고등학교,서울특별시 강남구 개포로 402,고등학교,02-576-3333,http://www.gaepo.hs.kr,공립
개포중학교,서울특별시 강남구 선릉로 9,중학교,02-571-1361,http://www.gaepo.ms.kr,공립
거원중학교,서울특별시 송파구 양산로2길 30,중학교,02-405-4205,http://www.geowon.ms.kr,공립
건국대학교사범대학부속고등학교,서울특별시 광진구 능동로 120,고등학교,070-7012-3500,http://konkuk.sen.hs.kr,사립
건국대학교사범대학부속중학교,서울특별시 광진구 자양로 145-1,중학교,02-457-0318,http://konkuk.sen.ms.kr,사립
경기고등학교,서울특별시 강남구 영동대로 643,고등학교,02-3496-7300,http://kyunggi.hs.kr/,공립
경기기계공업고등학교,서울특별시 노원구 공릉로 264,고등학교,02-2289-1600,http://www.ggmt.hs.kr,공립
경기기계공업고등학교부설미래기술교육센터,서울특별시 노원구 공릉로 264,공동실습소,02-970-8922,http://www.ggmt.hs.kr,공립
경기상업고등학교,서울특별시 종로구 자하문로 136,고등학교,02-737-6490,http://ggc.sen.hs.kr,공립
경기여자고등학교,서울특별시 강남구 삼성로 29,고등학교,02-573-6797,http://www.kgg.hs.kr,공립
경기여자고등학교부설방송통신고등학교,서울특별시 강남구 삼성로 29,방송통신고등학교,02-573-6796,http://www.kgg.hs.kr,공립
경기초등학교,서울특별시 서대문구 경기대로9길 10,초등학교,02-363-2908,http://www.kyonggicho.es.kr,사립
경동고등학교,서울특별시 성북구 보문로29길 49,고등학교,02-928-2353,www.kyungdong.hs.kr,공립
경동고등학교부설방송통신고등학교,서울특별시 성북구 보문로29길 49,방송통신고등학교,02-928-2077,http://kyungdong.cyber.hs.kr,공립
경문고등학교,서울특별시 동작구 동작대로 171,고등학교,02-535-1301,http://kyungmoon.sen.hs.kr,사립
경복고등학교,서울특별시 종로구 자하문로28가길 9,고등학교,02-397-5301,http://kyungbock.sen.hs.kr,공립
경복고등학교부설방송통신고등학교,서울특별시 종로구 자하문로28가길 9,방송통신고등학교,02-397-5470,http://www.cyber.hs.kr/user/index.do,공립
경복비즈니스고등학교,서울특별시 강서구 화곡로 379,고등학교,02-3661-3425,http://kbb.sen.hs.kr,사립
경복여자고등학교,서울특별시 강서구 화곡로63길 40,고등학교,02-3661-1741,http://www.kb.hs.kr,사립
경복초등학교,서울특별시 광진구 천호대로130길 58,초등학교,02-2204-1200,http://www.kbes.kr,사립
경서중학교,서울특별시 강서구 양천로59길 31,중학교,02-2668-0304,http://gyeongseo.sen.ms.kr,공립
경성고등학교,서울특별시 마포구 성미산로 111,고등학교,02-3140-1168,http://www.gyeongseong.hs.kr,사립
경성중학교,서울특별시 마포구 성미산로 111,중학교,02-3140-1114,http://www.gyeongseong.ms.kr,사립
경수중학교,서울특별시 성동구 뚝섬로13길 14,중학교,02-464-0675,http://www.gsu.ms.kr,공립
경신고등학교,서울특별시 종로구 혜화로 74,고등학교,02-762-0393,http://kyungshin.hs.kr,사립
경신중학교,서울특별시 종로구 혜화로 74,중학교,02-762-0313,https://ksms.sen.ms.kr,사립
경원중학교,서울특별시 서초구 신반포로33길 39,중학교,02-593-6578,http://gyeongwon.sen.ms.kr,공립
경인고등학교,서울특별시 구로구 경인로46길 31,고등학교,02-2618-3043,http://kyeongin.sen.hs.kr,공립
경인중학교,서울특별시 구로구 경인로 301,중학교,02-2612-3471,kyeongin.sen.ms.kr,공립
경일고등학교,서울특별시 성동구 성수일로 27,고등학교,02-463-3520,http://kyungil.sen.hs.kr,공립
경일중학교,서울특별시 성동구 성수일로 27,중학교,02-468-0651,http://kyungil.ms.kr,공립
경희고등학교,서울특별시 동대문구 경희대로 26,고등학교,02-966-3782,http://www.kyungheeboy.hs.kr/,사립
경희여자고등학교,서울특별시 동대문구 경희대로 26,고등학교,02-966-4560,http://kyunghee.sen.hs.kr,사립
경희여자중학교,서울특별시 동대문구 경희대로 26,중학교,02-2250-8888,http://kyungheegls.sen.ms.kr,사립
경희중학교,서울특별시 동대문구 경희대로 26,중학교,02-966-6402,http://www.kyunghee.ms.kr,사립
경희초등학교,서울특별시 동대문구 경희대로 26,초등학교,02-962-4300,http://www.kyunghee.es.kr,사립
계성고등학교,서울특별시 성북구 길음로 63,고등학교,02-728-6100,gyeseong.sen.hs.kr,사립
계성초등학교,서울특별시 서초구 신반포로19길 23,초등학교,02-590-5500,http://www.gyeseong1882.es.kr,사립
고덕중학교,서울특별시 강동구 동남로82길 94,중학교,02-2045-6000,http://www.godeok.ms.kr,공립
고려대학교사범대학부속고등학교,서울특별시 성북구 정릉로 161,고등학교,02-914-7483,https://koreahi.sen.hs.kr,사립
고려대학교사범대학부속중학교,서울특별시 성북구 정릉로 161,중학교,02-914-8853,http://www.koryo.ms.kr,사립
고명외식고등학교,서울특별시 성북구 북악산로 870,고등학교,02-928-8366,http://komyung.sen.hs.kr,사립
고명중학교,서울특별시 성북구 북악산로 870,중학교,02-926-2837,http://komyung.sen.ms.kr,사립
고척고등학교,서울특별시 구로구 중앙로15길 162,고등학교,02-2616-9813,http://gocheok.sen.hs.kr,공립
고척중학교,서울특별시 구로구 중앙로3길 20,중학교,02-6917-7101,http://www.gocheok.ms.kr,공립
공릉중학교,서울특별시 노원구 노원로1길 42,중학교,02-971-5212,http://kongrung.sen.ms.kr,공립
공항고등학교,서울특별시 강서구 방화대로34길 43,고등학교,02-2664-6874,http://www.konghang.hs.kr,공립
공항중학교,서울특별시 강서구 방화대로 241,중학교,02-2662-0471,http://gonghang.ms.kr,공립
관악고등학교,서울특별시 영등포구 영등포로6길 26,고등학교,02-2633-5954,http://kwan-ak.hs.kr,공립
관악중학교,서울특별시 관악구 남부순환로237길 60,중학교,02-889-1782,http://www.gwanak.ms.kr,공립
광남고등학교,서울특별시 광진구 아차산로70길 17-16,고등학교,02-2204-8705,http://www.gwang-nam.hs.kr,공립
광남중학교,서울특별시 광진구 아차산로70길 17-62,중학교,02-456-8792,http://www.gwangnam.ms.kr,공립
광문고등학교,서울특별시 강동구 동남로 968,고등학교,02-427-2870,http://gwangmun.sen.hs.kr,사립
광성고등학교,서울특별시 마포구 신수로8길 20,고등학교,02-703-3457,http://kwangsung.sen.hs.kr,사립
광성중학교,서울 마포구 신수로8길 20,중학교,02-703-3456,http://www.kwangsung.ms.kr,사립
광성하늘빛학교,서울특별시 송파구 올림픽로 625,특수학교,02-474-1004,www.hanulbit.sc.kr/,사립
광신고등학교,서울특별시 관악구 광신길 141,고등학교,02-881-8532,http://www.kwangshin.hs.kr,사립
광신방송예술고등학교,서울특별시 관악구 광신길 141,고등학교,02-881-8612,http://ksmedia.sen.hs.kr,사립
광신중학교,서울특별시 관악구 광신길 141,중학교,02-881-8652,http://www.kwangshin.ms.kr,사립
광양고등학교,서울특별시 광진구 자양로3가길 31,고등학교,02-446-1435,http://www.gwangyang.hs.kr,공립
광양중학교,서울특별시 광진구 자양로3길 7,중학교,02-452-6922,http://kwangyang.sen.ms.kr,공립
광영고등학교,서울특별시 양천구 남부순환로30길 17,고등학교,02-2650-2300,http://www.ky.hs.kr,사립
광영여자고등학교,서울특별시 양천구 남부순환로30길 17,고등학교,02-2697-5553,http://www.kyg.hs.kr,사립
광운인공지능고등학교,서울특별시 노원구 광운로1길 24,고등학교,02-918-7761,http://kwangwoon.sen.hs.kr,사립
광운중학교,서울특별시 노원구 광운로1길 24,중학교,02-942-2293,http://www.kwangwoon.ms.kr,사립
광운초등학교,서울특별시 성북구 한천로 694,초등학교,02-915-7312,http://kwangwoon.sen.es.kr,사립
광장중학교,서울특별시 광진구 광장로1길 1,중학교,02-452-0745,http://www.gwangjang.ms.kr,공립
광진중학교,서울특별시 광진구 뚝섬로64길 45,중학교,02-447-2886,http://gwangjin.ms.kr,공립
광희중학교,서울특별시 성동구 독서당로62길 46,중학교,02-2298-0250,http://www.kwanghee.ms.kr,공립
교남학교,서울특별시 강서구 까치산로22길 38,특수학교,02-2607-2456,http://kyonam.sc.kr,사립
구로고등학교,서울특별시 구로구 가마산로27길 45,고등학교,02-851-2065,http://guro.hs.kr,공립
구로중학교,서울특별시 구로구 구로중앙로 48,중학교,02-864-4233,http://www.guro.ms.kr,공립
구룡중학교,서울특별시 강남구 선릉로 103,중학교,02-577-3708,http://gury.sen.ms.kr/,공립
구산중학교,서울특별시 은평구 갈현로15길 20-23,중학교,02-389-8785,http://gusanjung.ms.kr,공립
구암고등학교,서울특별시 관악구 성현로 57,고등학교,02-879-9823,http://www.guahm.hs.kr,공립
구암중학교,서울특별시 관악구 성현로 53,중학교,02-881-2900,http://www.guahm.ms.kr/,공립
구의중학교,서울특별시 광진구 광나루로30길 80,중학교,02-447-4798,http://www.guui.ms.kr,공립
구일고등학교,서울특별시 구로구 구일로 90-51,고등학교,02-858-2549,http://www.guil.hs.kr,공립
구일중학교,서울특별시 구로구 구일로 90-133,중학교,02-2107-9104,http://kuil.ms.kr,공립
구현고등학교,서울특별시 구로구 경인로53가길 17,고등학교,02-2628-8916,http://www.guhyun.hs.kr,공립
국립국악고등학교,서울특별시 강남구 개포로22길 65,고등학교,02-3460-0500,http://gugak.sen.hs.kr,국립
국립국악중학교,서울특별시 강남구 개포로22길 65,각종학교(중),02-3460-0500,http://gugak.sen.ms.kr,국립
국립전통예술고등학교,서울특별시 금천구 시흥대로38길 62,고등학교,02-896-1094,http://kugak-am.hs.kr,국립
국립전통예술중학교,서울특별시 금천구 시흥대로38길 62,각종학교(중),02-896-1094,http://kugak-am.ms.kr,국립
국사봉중학교,서울특별시 동작구 양녕로20길 20,중학교,02-823-8715,http://www.kuksabong.ms.kr,공립
금성초등학교,서울특별시 중랑구 신내로21길 55,초등학교,02-3421-0500,http://www.kumsung.net,사립
금옥여자고등학교,서울특별시 양천구 신정로 213,고등학교,02-2086-7502,http://www.geumok.hs.kr,공립
금옥중학교,서울특별시 양천구 신정로 213,중학교,02-2696-1202,geumok.sen.ms.kr,공립
금천고등학교,서울특별시 금천구 시흥대로38길 26,고등학교,02-896-3181,http://Geumcheon.sen.hs.kr,공립
금천문화예술정보학교,서울특별시 금천구 남부순환로126길 25,각종학교(고),02-2039-9910,http://geumcheon.sc.kr/,공립
금호고등학교,서울특별시 성동구 금호로 118,고등학교,02-2022-0800,http://geumho.sen.hs.kr,공립
금호중학교,서울특별시 중구 청구로 6,중학교,070-4050-5660,http://geumho.sen.ms.kr,공립
길음중학교,서울특별시 성북구 길음로 144 ,중학교,02-910-8770,http://www.gireum.ms.kr,공립
꿈타래학교,서울특별시 관악구 신림로 67,각종학교(고),070-6331-1972,http://www.dreamkey.sen.sc.kr/,공립
난곡중학교,서울특별시 금천구 문성로 67,중학교,02-2283-5200,http://nangok.sen.ms.kr,공립
난우중학교,서울특별시 관악구 난곡로16길 32,중학교,02-864-4017,http://www.nanwoo.ms.kr,공립
남강고등학교,서울특별시 관악구 난곡로34길 80,고등학교,02-839-1701,http://www.namkang.hs.kr,사립
남강중학교,서울특별시 관악구 난곡로34길 80,중학교,02-839-1709,http://www.namkang.ms.kr,사립
남대문중학교,서울특별시 성북구 한천로 660-30,중학교,02-942-3184,http://namdaemoon.sen.ms.kr,사립
남서울중학교,서울특별시 관악구 남부순환로172길 97,중학교,02-855-9832,http://namseoul.sen.ms.kr,공립
남성중학교,서울특별시 동작구 남부순환로269길 166,중학교,02-520-7500,http://www.namsung.ms.kr,공립
내곡중학교,서울특별시 서초구 청계산로7길 9-20,중학교,02-571-9532,https://naegok.sen.ms.kr,공립
노곡중학교,서울특별시 도봉구 노해로70길 95,중학교,02-996-5232,http://www.nogok.ms.kr,공립
노원고등학교,서울특별시 노원구 노원로 586,고등학교,02-937-0079,http://nowon.sen.hs.kr,공립
노원중학교,서울특별시 노원구 동일로213길 26,중학교,02-3391-6921,http://nowon.sen.ms.kr,공립
노일중학교,서울특별시 노원구 동일로231길 24,중학교,02-3391-0092,http://noil.sen.ms.kr,공립
녹천중학교,서울특별시 노원구 월계로 376,중학교,02-978-4592,http://www.nokcheon.ms.kr,공립
누리학교,서울특별시 동작구 상도로 53,특수학교,02-824-3888,http://nuri.sen.sc.kr,사립
누원고등학교,서울특별시 도봉구 마들로 849,고등학교,02-3492-7595,http://www.noowon.hs.kr,공립
다니엘학교,서울특별시 서초구 헌릉로468길 21-16,특수학교,02-445-9435,daniel.sen.sc.kr,사립
단국대학교부속소프트웨어고등학교,서울특별시 강남구 도곡로64길 21,고등학교,02-2116-0115,http://dankook.sen.hs.kr,사립
단국대학교사범대학부속고등학교,서울특별시 강남구 도곡로64길 21,고등학교,02-2191-2600,http://www.dan-kook.hs.kr,사립
단국대학교사범대학부속중학교,서울특별시 강남구 도곡로64길 21,중학교,02-2191-2600,http://www.dankook.ms.kr/,사립
당곡고등학교,서울특별시 관악구 봉천로21길 108,고등학교,02-6717-5200,http://www.danggok.hs.kr,공립
당곡중학교,서울특별시 관악구 봉천로13길 101,중학교,02-870-7700,http://www.danggok.ms.kr,공립
당산서중학교,서울특별시 영등포구 당산로41길 12,중학교,02-2676-0962,http://dangsanseo.sen.ms.kr,공립
당산중학교,서울특별시 영등포구 버드나루로 160,중학교,02-2177-9900,http://dangsan.ms.kr,공립
대경생활과학고등학교,서울특별시 중구 매봉18길 111,고등학교,02-2235-5155,http://daekyeong.sen.hs.kr,사립
대경중학교,서울특별시 중구 매봉18길 111,중학교,02-2235-5158,https://dk.sen.ms.kr,사립
대광고등학교,서울특별시 동대문구 안암로 6,고등학교,02-940-2202,http://www.dgh.hs.kr,사립
