STATION_CD,STATION_NM,STATION_NM_ENG,LINE_NUM,FR_CODE,STATION_NM_CHN,STATION_NM_JPN
1729,당정,Dangjeong,01호선,P151,堂井,タンジョン
1906,의정부,Uijeongbu,01호선,110,议政府,ウィジョンブ
1907,가능,Ganeung,01호선,109,佳陵,カヌン
1909,양주,Yangju,01호선,107,杨州,ヤンジュ
1910,덕계,Deokgye,01호선,106,德溪,トッケ
1912,지행,Jihaeng,01호선,104,纸杏,チヘン
1915,동두천,Dongducheon,01호선,101,东豆川,トンドゥチョン
1916,소요산,Soyosan,01호선,100,逍遥山,ソヨサン
1917,청산,Cheongsan,01호선,100-1,青山,チョンサン
1918,전곡,Jeongok,01호선,100-2,全谷,チョンゴク
1913,동두천중앙,Dongducheon  jungang,01호선,103,东豆川中央,トンドゥチョン・チュンアン
1002,남영,Namyeong,01호선,134,南营,ナミョン
1919,연천,Yeoncheon,01호선,100-3,涟川,ヨンチョン
1911,덕정,Deokjeong,01호선,105,德亭,トクチョン
1813,구일,Guil,01호선,142,九一,クイル
1914,보산,Bosan,01호선,102,保山,ポサン
1908,녹양,Nogyang,01호선,108,绿杨,ノギャン
1805,송내,Songnae,01호선,150,松内,ソンネ
1717,세마,Sema,01호선,P158,洗马,セマ
1903,도봉산,Dobongsan,01호선,113,道峰山,トボンサン
1032,신길,Singil,01호선,138,新吉,シンギル
1709,군포,Gunpo,01호선,P150,军浦,クンポ
1707,명학,Myeonghak,01호선,P148,鸣鹤,ミョンハク
1814,소사,Sosa,01호선,147,素砂,ソサ
1809,주안,Juan,01호선,156,朱安,チュアン
0154,종로5가,Jongno 5(o)-ga,01호선,129,钟路五街,チョンノオガ
1719,오산,Osan,01호선,P160,乌山,オサン
1708,금정,Geumjeong,01호선,P149,衿井,クムジョン
0153,종로3가,Jongno 3(sam)-ga,01호선,130,钟路三街,チョンノサムガ
0152,종각,Jonggak,01호선,131,钟阁,チョンガク
1016,외대앞,Hankuk Univ. of Foreign Studies,01호선,122,韩国外国语大学,ウェデアプ
1401,봉명,Bongmyeong,01호선,P170,凤鸣,ポンミョン
1402,쌍용,Ssangyong,01호선,P171,双龙,サンヨン
1403,아산,Asan,01호선,P172,牙山,アサン
1404,탕정,Tangjeong,01호선,P173,汤井,タンジョン
1405,배방,Baebang,01호선,P174,排芳,ペバン
1407,온양온천,Onyang oncheon,01호선,P176,温阳温泉,オニャンオンチョン
1408,신창,Sinchang,01호선,P177,新昌,シンチャン
0151,시청,City Hall,01호선,132,市厅,シチョン
0150,서울역,Seoul Station,01호선,133,首尔,ソウル
0159,동묘앞,Dongmyo,01호선,127,东庙,トンミョアプ
0158,청량리,Cheongnyangni,01호선,124,清凉里,チョンニャンニ
1701,구로,Guro,01호선,141,九老,クロ
1702,가산디지털단지,Gasan Digital Complex,01호선,P142,加山数码园区,カサン・デジタルダンジ
1703,금천구청,Geumcheon-Gu Office,01호선,P144,衿川区厅,クムチョングチョン
1704,석수,Seoksu,01호선,P145,石水,ソッス
1705,관악,Gwanak,01호선,P146,冠岳,クァナク
1706,안양,Anyang,01호선,P147,安养,アニヤン
1710,의왕,Uiwang,01호선,P152,儀王,ウィワン
