station_name,line,opening_date,gu,bjd,is_new_station,notes,source
김포공항,김포골드라인,2019-09-28,강서구,방화동,False,기존역(5/9호선 등) 승강장 추가,위키백과 김포도시철도
샛강,신림선,2022-05-28,영등포구,여의도동,True,신설,위키백과 신림선
대방,신림선,2022-05-28,영등포구,대방동,True,1호선 대방역과 환승(신림선 승강장 신설),위키백과 신림선
서울지방병무청,신림선,2022-05-28,영등포구,신길동,True,신설,위키백과 신림선
보라매,신림선,2022-05-28,동작구,신대방동,True,7호선 보라매역과 환승,위키백과 신림선
보라매공원,신림선,2022-05-28,동작구,신대방동,True,신설,위키백과 신림선
보라매병원,신림선,2022-05-28,동작구,신대방동,True,신설,위키백과 신림선
당곡,신림선,2022-05-28,관악구,신림동,True,신설,위키백과 신림선
신림(경전철),신림선,2022-05-28,관악구,신림동,True,2호선 신림역과 환승,위키백과 신림선
서원,신림선,2022-05-28,관악구,신림동,True,신설,위키백과 신림선
서울대벤처타운,신림선,2022-05-28,관악구,신림동,True,신설,위키백과 신림선
관악산,신림선,2022-05-28,관악구,신림동,True,신설,위키백과 신림선
신사(신분당),신분당선,2022-05-28,강남구,신사동,True,3호선 신사역과 환승(신분당 승강장 신설),위키백과 신분당선
서울역(GTX),GTX-A,2024-12-28,중구,봉래동2가,False,기존역 GTX 승강장 추가,위키백과 GTX-A
수서(GTX),GTX-A,2024-03-30,강남구,수서동,False,기존역 GTX 승강장 추가,위키백과 GTX-A
