scenario,split,xgb_r2,xgb_mape,ols_r2
A_행정동만_v7,random,0.9207833434732605,0.0995021165633297,0.506135826159031
A_행정동만_v7,temporal,0.8004524217794484,0.1488377645518205,0.4134799445731949
A_행정동만_v7,group,0.7772152206521385,0.15524360213229274,0.4273894016021199
B_거리만_시점무관(2026스냅샷),random,0.95188080052092,0.07417594744369733,0.5504326704275407
B_거리만_시점무관(2026스냅샷),temporal,0.8558055282935328,0.1247403372776003,0.4480011084845499
B_거리만_시점무관(2026스냅샷),group,0.7274870405251503,0.17856487646934713,0.4831834464261021
C_거리+시점정합(v8),random,0.9492955849539528,0.0762188833651121,0.5303809791693428
C_거리+시점정합(v8),temporal,0.8513424352702007,0.13120114119644113,0.4113996537760075
C_거리+시점정합(v8),group,0.7259758934026708,0.1824037779473696,0.4684352704386954
D_거리+시점+행정동,random,0.9587346175799139,0.06852090587150729,0.5837483177538683
D_거리+시점+행정동,temporal,0.8710640272082472,0.11983930224471177,0.4861413461188706
D_거리+시점+행정동,group,0.8039058247504043,0.148286150141193,0.5023266025598643
