구,법정동,아파트명,행정동,구_spatial,행정동_spatial,adm_nm
강남구,개포동,개포2차현대아파트(220),개포1동,강남구,개포4동,서울특별시 강남구 개포4동
강남구,개포동,개포6차우성아파트1동~8동,개포1동,강남구,개포4동,서울특별시 강남구 개포4동
강남구,개포동,개포더샵트리에,개포1동,강남구,개포1동,서울특별시 강남구 개포1동
강남구,개포동,개포래미안포레스트,개포1동,강남구,개포4동,서울특별시 강남구 개포4동
강남구,개포동,개포우성3차,개포1동,강남구,개포1동,서울특별시 강남구 개포1동
강남구,개포동,개포자이,개포1동,강남구,개포2동,서울특별시 강남구 개포2동
강남구,개포동,개포자이르네,개포1동,강남구,개포4동,서울특별시 강남구 개포4동
강남구,개포동,개포자이프레지던스,개포1동,강남구,개포2동,서울특별시 강남구 개포2동
강남구,개포동,개포주공1단지,개포1동,강남구,개포1동,서울특별시 강남구 개포1동
강남구,개포동,개포주공4단지,개포1동,강남구,개포2동,서울특별시 강남구 개포2동
강남구,개포동,개포주공5단지,개포1동,강남구,개포2동,서울특별시 강남구 개포2동
강남구,개포동,개포주공6단지,개포1동,강남구,개포2동,서울특별시 강남구 개포2동
강남구,개포동,개포주공7단지,개포1동,강남구,개포2동,서울특별시 강남구 개포2동
강남구,개포동,개포현대200동,개포1동,강남구,개포4동,서울특별시 강남구 개포4동
강남구,개포동,개포현대6차,개포1동,강남구,개포4동,서울특별시 강남구 개포4동
강남구,개포동,경남1,개포1동,강남구,개포1동,서울특별시 강남구 개포1동
강남구,개포동,경남2차,개포1동,강남구,개포1동,서울특별시 강남구 개포1동
강남구,개포동,그린빌리지,개포1동,강남구,개포4동,서울특별시 강남구 개포4동
강남구,개포동,뉴현대파크빌,개포1동,강남구,개포4동,서울특별시 강남구 개포4동
강남구,개포동,대치푸르지오발라드,개포1동,강남구,개포2동,서울특별시 강남구 개포2동
강남구,개포동,디에이치아너힐즈,개포1동,강남구,개포2동,서울특별시 강남구 개포2동
강남구,개포동,디에이치퍼스티어아이파크,개포1동,강남구,개포1동,서울특별시 강남구 개포1동
강남구,개포동,래미안블레스티지,개포1동,강남구,개포2동,서울특별시 강남구 개포2동
강남구,개포동,리더스,개포1동,강남구,개포4동,서울특별시 강남구 개포4동
강남구,개포동,리치타운,개포1동,강남구,개포4동,서울특별시 강남구 개포4동
강남구,개포동,삼익대청아파트,개포1동,강남구,개포3동,서울특별시 강남구 개포3동
강남구,개포동,상지리츠빌,개포1동,강남구,개포2동,서울특별시 강남구 개포2동
강남구,개포동,새롬(1164-12),개포1동,강남구,개포4동,서울특별시 강남구 개포4동
강남구,개포동,새롬(1164-13),개포1동,강남구,개포4동,서울특별시 강남구 개포4동
강남구,개포동,새롬(1164-14),개포1동,강남구,개포4동,서울특별시 강남구 개포4동
강남구,개포동,성원대치2단지아파트,개포1동,강남구,개포3동,서울특별시 강남구 개포3동
강남구,개포동,아람손프라자/비바빌,개포1동,강남구,개포4동,서울특별시 강남구 개포4동
강남구,개포동,에버그린,개포1동,강남구,도곡2동,서울특별시 강남구 도곡2동
강남구,개포동,우성8,개포1동,강남구,개포4동,서울특별시 강남구 개포4동
강남구,개포동,"우성9차아파트901동,902동",개포1동,강남구,개포1동,서울특별시 강남구 개포1동
