구,행정동,거래건수,단지수,법정동수
강남구,개포1동,463,8,1
강남구,개포2동,1506,15,3
강남구,개포3동,1200,6,2
강남구,개포4동,468,20,1
강남구,논현1동,548,30,2
강남구,논현2동,490,42,3
강남구,대치1동,1262,20,1
강남구,대치2동,1282,17,2
강남구,대치4동,366,28,2
강남구,도곡1동,1434,56,3
강남구,도곡2동,1728,19,2
강남구,삼성1동,496,46,2
강남구,삼성2동,1258,44,1
강남구,세곡동,1440,15,4
강남구,수서동,691,5,1
강남구,신사동,296,19,2
강남구,압구정동,1753,37,2
강남구,역삼1동,584,57,1
강남구,역삼2동,1818,51,1
강남구,일원1동,172,2,1
강남구,일원본동,1596,9,2
강남구,청담동,1164,102,1
강동구,강일동,914,15,1
강동구,고덕1동,1752,5,1
강동구,고덕2동,1178,3,1
강동구,길동,2920,109,2
강동구,둔촌1동,268,7,1
강동구,둔촌2동,1391,44,1
강동구,명일1동,1931,25,2
강동구,명일2동,828,13,2
강동구,상일제1동,2233,9,2
강동구,상일제2동,193,2,1
강동구,성내1동,1136,47,1
강동구,성내2동,442,27,1
강동구,성내3동,629,63,1
강동구,암사1동,788,22,1
강동구,암사2동,1215,9,1
강동구,암사3동,1270,15,1
강동구,천호1동,681,34,2
강동구,천호2동,726,33,1
강동구,천호3동,1494,44,3
강북구,미아동,309,16,3
강북구,번1동,228,13,1
강북구,번2동,299,6,1
강북구,번3동,1058,12,1
강북구,삼각산동,2806,5,1
강북구,삼양동,674,8,2
강북구,송중동,708,13,2
강북구,송천동,810,8,2
강북구,수유1동,138,12,1
강북구,수유2동,637,18,1
강북구,수유3동,165,12,1
강북구,우이동,326,17,3
강북구,인수동,138,6,2
강서구,가양1동,1936,24,3
강서구,가양2동,741,4,1
강서구,가양3동,759,4,1
강서구,공항동,959,16,2
강서구,등촌1동,957,33,1
강서구,등촌2동,522,17,1
강서구,등촌3동,1919,14,1
강서구,발산1동,1270,52,3
강서구,방화1동,2178,46,2
강서구,방화2동,1024,28,4
강서구,방화3동,1355,13,1
강서구,염창동,3119,66,1
강서구,우장산동,2348,48,2
강서구,화곡1동,1272,114,2
강서구,화곡2동,83,15,2
강서구,화곡3동,691,18,3
강서구,화곡4동,150,18,1
강서구,화곡6동,610,22,1
강서구,화곡8동,345,47,2
강서구,화곡본동,170,35,1
관악구,낙성대동,174,22,1
관악구,난곡동,25,3,1
관악구,난향동,877,6,2
관악구,남현동,428,52,1
관악구,대학동,412,15,1
관악구,미성동,562,15,1
관악구,보라매동,240,10,1
관악구,삼성동,524,9,1
관악구,서림동,457,6,1
관악구,서원동,104,6,1
관악구,성현동,650,9,2
관악구,신림동,610,18,1
관악구,신사동,131,4,2
관악구,신원동,125,5,1
관악구,은천동,2915,14,1
관악구,인헌동,329,18,1
관악구,조원동,333,14,1
관악구,중앙동,269,22,1
관악구,청룡동,983,30,1
관악구,청림동,786,3,2
관악구,행운동,817,25,1
광진구,광장동,2625,34,2
광진구,구의1동,67,8,1
광진구,구의2동,449,25,1
광진구,구의3동,1065,33,2
광진구,군자동,219,7,1
광진구,능동,4,2,1
광진구,자양1동,163,11,1
광진구,자양2동,485,19,1
광진구,자양3동,1790,33,1
광진구,자양4동,384,13,1
광진구,중곡1동,78,9,1
광진구,중곡2동,127,14,1
광진구,중곡3동,56,4,1
광진구,중곡4동,112,8,1
광진구,화양동,655,18,3
구로구,가리봉동,31,2,1
구로구,개봉1동,1278,17,2
구로구,개봉2동,2369,27,3
구로구,개봉3동,564,8,2
구로구,고척1동,1347,19,2
구로구,고척2동,975,23,2
