,log㎡당가격,전용면적,층,건물연령,강남구분,백화점수,어린이집수,학원수,M2,소비자물가지수
log㎡당가격,1.0,0.053,0.187,-0.082,0.481,0.396,-0.296,0.064,0.353,0.331
전용면적,0.053,1.0,0.1,0.071,0.185,0.128,-0.124,0.025,-0.02,-0.009
층,0.187,0.1,1.0,-0.186,0.043,0.028,-0.076,-0.06,0.042,0.046
건물연령,-0.082,0.071,-0.186,1.0,0.058,0.093,0.197,0.157,0.08,0.087
강남구분,0.481,0.185,0.043,0.058,1.0,0.652,-0.209,0.184,0.011,0.016
백화점수,0.396,0.128,0.028,0.093,0.652,1.0,-0.127,0.287,0.013,0.017
어린이집수,-0.296,-0.124,-0.076,0.197,-0.209,-0.127,1.0,0.749,-0.067,-0.069
학원수,0.064,0.025,-0.06,0.157,0.184,0.287,0.749,1.0,-0.03,-0.028
M2,0.353,-0.02,0.042,0.08,0.011,0.013,-0.067,-0.03,1.0,0.973
소비자물가지수,0.331,-0.009,0.046,0.087,0.016,0.017,-0.069,-0.028,0.973,1.0
