변수,B,SE,t,p
const,6.73858719e+00,3.37870806e-02,199.443,0
전용면적,-1.36192343e-03,1.89637318e-05,-71.817,0
층,1.03947930e-02,8.92046452e-05,116.527,0
건물연령,-3.49847830e-03,5.48285220e-05,-63.808,0
강남구분,3.67801180e-01,2.06980474e-03,177.698,0
초등학교수,5.47762123e-04,3.05722531e-04,1.792,0.0731823
중학교수,-7.23229549e-03,5.07280296e-04,-14.257,4.16449e-46
고등학교수,2.30589052e-02,3.87113341e-04,59.566,0
CCTV수,-4.35530679e-04,4.91510039e-06,-88.611,0
백화점수,4.30683564e-04,2.39983798e-05,17.946,5.47673e-72
지하철역수,6.08205112e-02,5.80318352e-04,104.805,0
공원수,4.32744399e-04,1.08031531e-03,0.401,0.688735
도서관수,2.75182125e-02,1.00859199e-03,27.284,9.41219e-164
학원수,1.47450603e-03,7.78233143e-06,189.468,0
어린이집수,-1.81778504e-02,9.09715822e-05,-199.819,0
기준금리,1.50086865e-01,5.06648243e-03,29.623,1.21796e-192
CD금리,-2.01567432e-01,4.88085703e-03,-41.298,0
소비자물가지수,-8.68008801e-03,4.91785171e-04,-17.65,1.07986e-69
M2,4.91197737e-07,5.58498463e-09,87.95,0
