,전용면적,층,건물연령,강남구분,초등학교수,중학교수,고등학교수,공원수,백화점수,기준금리,CD금리,소비자물가지수,M2,거래금액
전용면적,1.0,0.106,0.065,0.184,-0.042,0.001,-0.041,0.046,0.125,-0.006,-0.009,-0.019,-0.033,0.606
층,0.106,1.0,-0.182,0.046,-0.042,-0.032,-0.06,-0.033,0.028,0.054,0.053,0.05,0.043,0.187
건물연령,0.065,-0.182,1.0,0.059,0.176,0.137,0.16,-0.053,0.093,0.032,0.032,0.043,0.038,0.011
강남구분,0.184,0.046,0.059,1.0,0.37,0.521,0.298,0.329,0.665,0.045,0.043,0.038,0.029,0.503
초등학교수,-0.042,-0.042,0.176,0.37,1.0,0.937,0.873,0.218,0.227,-0.008,-0.009,-0.019,-0.024,0.022
중학교수,0.001,-0.032,0.137,0.521,0.937,1.0,0.861,0.305,0.276,0.007,0.006,-0.005,-0.012,0.111
고등학교수,-0.041,-0.06,0.16,0.298,0.873,0.861,1.0,0.243,0.302,-0.021,-0.021,-0.027,-0.027,0.018
공원수,0.046,-0.033,-0.053,0.329,0.218,0.305,0.243,1.0,0.139,0.013,0.012,0.017,0.021,0.149
백화점수,0.125,0.028,0.093,0.665,0.227,0.276,0.302,0.139,1.0,0.037,0.035,0.032,0.026,0.412
기준금리,-0.006,0.054,0.032,0.045,-0.008,0.007,-0.021,0.013,0.037,1.0,0.995,0.902,0.753,0.135
CD금리,-0.009,0.053,0.032,0.043,-0.009,0.006,-0.021,0.012,0.035,0.995,1.0,0.903,0.759,0.131
소비자물가지수,-0.019,0.05,0.043,0.038,-0.019,-0.005,-0.027,0.017,0.032,0.902,0.903,1.0,0.955,0.186
M2,-0.033,0.043,0.038,0.029,-0.024,-0.012,-0.027,0.021,0.026,0.753,0.759,0.955,1.0,0.198
거래금액,0.606,0.187,0.011,0.503,0.022,0.111,0.018,0.149,0.412,0.135,0.131,0.186,0.198,1.0
