,N,평균,표준편차,최솟값,1사분위,중앙값,3사분위,최댓값
전용면적,391826.0,75.75598546344551,30.190221943713926,10.156,59.65,79.47,84.96,273.973
층,391826.0,9.468253765702123,6.346797145327265,1.0,5.0,8.0,13.0,68.0
건물연령,391826.0,19.85436903115158,10.764820970375116,0.0,12.0,20.0,27.0,64.0
강남구분,391826.0,0.16608647716078054,0.37215871982760196,0.0,0.0,0.0,0.0,1.0
초등학교수,391826.0,4.749291777472654,3.6037801489733305,0.0,2.0,4.0,7.0,17.0
중학교수,391826.0,2.817658858779152,2.195424239110705,0.0,1.0,2.0,4.0,9.0
고등학교수,391826.0,2.308636997034398,2.3405719523624753,0.0,1.0,1.0,3.0,9.0
CCTV수,391826.0,304.25462832992196,135.5607180557744,0.0,208.0,291.0,366.0,974.0
백화점수,391826.0,23.06577154144952,33.79609055232882,0.0,2.0,16.0,24.0,138.0
지하철역수,391826.0,1.0336399320106373,1.057926173858532,0.0,0.0,1.0,2.0,7.0
공원수,391826.0,0.2868722341039135,0.581881330227553,0.0,0.0,0.0,0.0,3.0
도서관수,391826.0,0.493229137423244,0.6353714642621524,0.0,0.0,0.0,1.0,3.0
학원수,391826.0,167.66802100932557,139.43797568660779,16.0,82.0,116.0,241.0,700.0
어린이집수,391826.0,25.829763721651958,14.747135693999985,5.0,15.0,22.0,32.0,62.0
기준금리,391826.0,1.9215142690888303,1.1348762076695587,0.5,0.75,1.75,3.0,3.5
CD금리,391826.0,2.0947240867119588,1.102492848853809,0.63,1.02,1.8,3.04,4.02
소비자물가지수,391826.0,107.06989189078826,7.294867168120292,98.884,99.794,103.17,114.54,117.57
M2,391826.0,3349528.997302885,522655.82391867775,2534604.3,2905728.9,3292224.7,3840923.4,4099933.2
거래금액,391826.0,102871.99646526774,79178.24698403626,5400.0,55400.0,83000.0,127000.0,2900000.0
