variable,OLS_coef,OLS_se,OLS_tval,OLS_pval,RF_importance,XGB_importance,SHAP_importance
전용면적,1227.758,3.11,394.822,0.0,0.38483,0.095596,24811.453
강남구분,68316.88,480.358,142.221,0.0,0.269462,0.527079,18105.1
건물연령,-188.532,9.263,-20.353,0.0,0.126895,0.038498,12988.187
M2,0.029,0.001,22.088,0.0,0.051875,0.033715,8968.061
백화점수,276.166,4.163,66.335,0.0,0.029964,0.070885,6129.664
소비자물가지수,1608.167,148.318,10.843,0.0,0.030021,0.027581,5601.948
중학교수,-627.634,66.267,-9.471,0.0,0.038128,0.063534,4733.032
초등학교수,-525.332,37.873,-13.871,0.0,0.017683,0.041816,4663.018
공원수,557.141,49.26,11.31,0.0,0.012151,0.041649,3992.712
층,1112.421,15.116,73.591,0.0,0.018043,0.01673,3585.34
CD금리,-21219.465,787.855,-26.933,0.0,0.005748,0.006534,2187.986
고등학교수,-55.27,38.157,-1.449,0.147477,0.013567,0.029044,1591.579
기준금리,12176.116,839.58,14.503,0.0,0.001633,0.007339,1179.564
