scenario,train_start,train_end,train_label,train_n,test_scope,test_year,test_label,test_n,r2,mape,median_ape,mae_log,mean_actual_price_per_m2,mean_pred_price_per_m2,mean_pct_bias,n
train_2019,2019,2019,2019,74896,future_all,,2020-2025,316930,0.3765364405252304,0.2539886753388134,0.2452845344648107,0.3089656315437283,1407.5456012167676,1016.8758544921875,-0.2775538827210014,316930
train_2019,2019,2019,2019,74896,year,2020.0,2020,83916,0.7683741508339041,0.15986102503787702,0.1410762631742039,0.17234561925875092,1109.69222769124,979.0498046875,-0.11772851944322163,83916
train_2019,2019,2019,2019,74896,year,2021.0,2021,43379,0.25601134932229863,0.27635890326073265,0.2883136128888812,0.3328022080851073,1377.1687254399296,998.05419921875,-0.27528546010226407,43379
train_2019,2019,2019,2019,74896,year,2022.0,2022,12788,0.3311894922355294,0.2721951945572421,0.2770318289966863,0.32504439795232426,1369.1099572116045,997.1265258789062,-0.2716972653462383,12788
train_2019,2019,2019,2019,74896,year,2023.0,2023,35565,0.40862629602334877,0.24354658757610764,0.2411530044210443,0.28816482034146,1400.3651463923409,1044.4979248046875,-0.25412459207832205,35565
train_2019,2019,2019,2019,74896,year,2024.0,2024,57710,0.266421601648417,0.27522925369605655,0.2763012301985822,0.3388037662259081,1529.5206188828809,1058.5616455078125,-0.30791279801055815,57710
train_2019,2019,2019,2019,74896,year,2025.0,2025,83572,-0.07451507464850904,0.3238825619533172,0.3284163051911485,0.4195625411568122,1647.1006173579271,1027.108642578125,-0.37641414753053504,83572
train_2019_2020,2019,2020,2019-2020,158812,future_all,,2021-2025,233014,0.5980621259424299,0.20057131375857493,0.17513945378572404,0.22893929293554444,1514.8123907348572,1216.573486328125,-0.19688174339665407,233014
train_2019_2020,2019,2020,2019-2020,158812,year,2021.0,2021,43379,0.7593063994796648,0.1593464359813345,0.13993045092056497,0.17029347858967625,1377.1687254399296,1211.59423828125,-0.12022817836339385,43379
train_2019_2020,2019,2020,2019-2020,158812,year,2022.0,2022,12788,0.6685552767516899,0.1990885932824361,0.18266799925083269,0.21704957036225386,1369.1099572116045,1148.58056640625,-0.16107500324845736,12788
train_2019_2020,2019,2020,2019-2020,158812,year,2023.0,2023,35565,0.7377004454366872,0.16308863154094255,0.13480864523182712,0.17438056584470646,1400.3651463923409,1231.7587890625,-0.1204017093428876,35565
train_2019_2020,2019,2020,2019-2020,158812,year,2024.0,2024,57710,0.6426145928246446,0.1936202089911217,0.17185411446437193,0.2189057451006757,1529.5206188828809,1239.731201171875,-0.18946421129167906,57710
train_2019_2020,2019,2020,2019-2020,158812,year,2025.0,2025,83572,0.41295140469002256,0.2429476461635383,0.22733951213455184,0.29134607663478085,1647.1006173579271,1207.108642578125,-0.267131206280271,83572
train_2019_2021,2019,2021,2019-2021,202191,future_all,,2022-2025,189635,0.7121471077270121,0.2003765186638678,0.16181397697244743,0.19613957605816298,1546.2983746346054,1474.75244140625,-0.046269164090185284,189635
train_2019_2021,2019,2021,2019-2021,202191,year,2022.0,2022,12788,0.8022285577647307,0.16459010254025644,0.12211884204527712,0.15490912842104151,1369.1099572116045,1360.4393310546875,-0.006333038563663681,12788
train_2019_2021,2019,2021,2019-2021,202191,year,2023.0,2023,35565,0.740010939663313,0.19650703538256134,0.154925390162418,0.176387058624482,1400.3651463923409,1495.5277099609375,0.06795553560709293,35565
train_2019_2021,2019,2021,2019-2021,202191,year,2024.0,2024,57710,0.7508996335542985,0.18980786599311364,0.1499113215573069,0.18089548977898887,1529.5206188828809,1505.3765869140625,-0.015785358935829504,57710
train_2019_2021,2019,2021,2019-2021,202191,year,2025.0,2025,83572,0.6521101021051903,0.21479727930041623,0.18235514535476935,0.2213811577611678,1647.1006173579271,1462.255859375,-0.1122243268170417,83572
