변수,비표준화 회귀계수,표준오차,t값,p값
(상수),-241016.034,10988.423,-21.934,0.0
전용면적,1229.931,3.109,395.606,0.0
층,1106.328,15.107,73.233,0.0
건물연령,-199.614,9.272,-21.529,0.0
강남구분,63663.086,532.727,119.504,0.0
학교수,1071.066,53.199,20.133,0.0
초등학교수,-1510.099,61.842,-24.418,0.0
중학교수,-1568.83,81.053,-19.356,0.0
고등학교수,-1475.226,80.174,-18.4,0.0
공원수,843.132,51.229,16.458,0.0
백화점수,306.758,4.429,69.267,0.0
기준금리,12218.571,838.895,14.565,0.0
CD금리,-21206.019,787.21,-26.938,0.0
소비자물가지수,1586.709,148.201,10.706,0.0
M2,0.029,0.001,22.226,0.0
