feature,mean_abs_shap,pct
강남구분,0.119990185,12.45682
건물연령,0.10056154,10.439828
M2,0.09438379,9.798484
전용면적,0.075165264,7.8033056
childcare_count_1000m,0.06198139,6.434618
academy_count_1000m,0.045952916,4.7706165
소비자물가지수,0.0438788,4.555292
subway_count_1000m,0.04364536,4.531057
subway_nearest_m,0.035143122,3.6483946
department_nearest_m,0.034214217,3.55196
층,0.0288611,2.9962244
cctv_count_500m,0.028691439,2.978611
department_count_2000m,0.027491735,2.8540635
hospital_general_nearest_m,0.023991479,2.4906828
CD금리,0.02110217,2.1907284
elem_school_nearest_m,0.020858778,2.1654606
library_log1p_count_2km,0.01765822,1.8331938
mart_nearest_m,0.016615577,1.7249514
hospital_count_1000m,0.016077586,1.6690997
academy_nearest_m,0.0149155315,1.5484607
library_nearest_m,0.0112393955,1.1668214
middle_school_nearest_m,0.0099094715,1.028755
park_nearest_m,0.009798462,1.0172304
기준금리,0.009511678,0.9874579
park_log1p_count_2km,0.0074590403,0.7743627
large_store_count_500m,0.007291618,0.7569817
park_count_1000m,0.006931183,0.71956295
mart_count_1000m,0.00612842,0.6362239
high_school_count_1000m,0.006073143,0.6304853
elem_school_count_1000m,0.005250029,0.54503345
library_count_1000m,0.0039388984,0.408918
department_log1p_count_2km,0.0036899094,0.38306913
middle_school_count_1000m,0.0034274708,0.355824
department_within_1km,0.0008928608,0.09269263
park_within_1km,0.0005272098,0.054732453
