전용면적,층,건물연령,강남구분,초등학교수,중학교수,고등학교수,공원수,백화점수,기준금리,CD금리,소비자물가지수,M2
5926.8906,1456.8538,-15074.658,-11796.821,-5211.4863,-13510.102,931.4052,65.205475,-3785.032,188.07495,708.757,-3937.5857,-11849.615
-7340.788,-5033.7036,-9725.665,-10639.553,-1528.6334,-2957.9185,393.07092,-4758.4263,-2433.7148,-1315.8335,-2014.2162,5115.725,9337.303
8031.3105,67.255424,-11485.87,-11538.653,-1909.2488,-11112.459,-577.3816,-5764.7617,-6533.804,-127.66313,1066.0496,-4578.261,-12257.027
9969.31,2253.4607,33696.387,-12100.483,6907.626,13395.218,2765.9265,3955.6968,2720.6218,-88.78749,1179.5944,-5595.4917,-18263.29
28709.994,-837.3778,1740.2701,-15915.59,-10631.047,-14418.187,732.49994,-4402.2393,-7237.2476,510.42017,-1297.7507,-5317.8975,-1752.4392
-8911.311,2739.3918,-9965.353,-10965.445,4333.621,-4670.4985,-3372.1968,-3914.4324,-2612.533,-1717.2844,-4210.3027,2644.7961,7011.8916
-25272.28,1587.1088,-8441.271,-9231.56,-5276.6304,-10432.799,804.8132,-711.5138,-4462.7847,706.3401,774.5295,-856.88293,3714.237
-13987.438,-3990.1624,22319.305,-10387.727,6421.496,10016.972,1313.731,-7038.7007,3496.9075,-1075.4369,-73.645905,10102.191,8742.766
32486.941,2839.301,46415.27,75871.88,10458.805,3273.468,2584.5334,4737.71,18403.148,138.19801,4269.4297,-2255.2544,5257.749
7025.8022,-160.0609,-11237.063,-9991.193,-466.94476,1012.1983,-324.309,1727.7854,4840.1553,731.11206,2056.881,-3679.4382,-9885.493
12649.558,-3897.8606,33386.99,-12569.169,-4745.2563,7105.166,405.6275,-464.8841,11173.706,1330.862,2929.275,-5621.2393,-5579.1353
-30497.959,-3978.3433,-149.5314,-8539.716,-1200.914,-850.6121,-739.1758,2798.4834,-2680.1716,969.153,2185.86,2500.0762,4700.2266
-30881.895,-6255.712,5194.097,-10944.32,-5692.813,-10589.409,668.1717,-55.309666,-3396.3684,1726.9371,2899.0552,2635.1196,6084.622
254063.36,6876.687,113306.81,106327.9,22116.123,3803.1787,16715.006,4068.772,77003.19,-4868.492,-13734.315,57038.027,4802.869
-6365.84,-4135.4287,-10709.595,-8736.786,-1595.1097,-701.025,-1434.7772,4330.5596,-2244.3938,545.5599,874.12415,-121.874146,82.40141
11513.144,-6310.666,-16493.871,-10854.08,-148.46848,990.028,77.348785,5468.029,-2122.042,-2035.4476,-5149.524,5384.069,7623.4473
8196.55,-1852.0043,-9944.022,-10834.18,-3542.6099,9569.487,943.13745,-3312.3206,-1362.8218,739.49664,-991.6066,-2573.3574,6545.64
51543.68,-8232.225,-9204.854,-9793.05,4910.0747,23644.516,7376.4814,4394.7886,4877.985,-2462.9639,-252.04216,10225.835,20378.379
-33562.68,758.3486,3561.8445,-9010.887,-2811.4329,-2314.791,-887.5562,-4587.97,-4207.3315,932.2304,2131.4336,741.6043,4027.7957
-27172.305,64.75804,-5458.0684,-9142.144,1005.0907,3489.0918,-5051.8257,-3224.352,-13191.539,-273.45087,-1443.2578,-4360.645,-11247.127
19006.512,1881.3492,-17785.178,40278.254,-14732.799,-7672.2354,-1973.4001,3743.0688,5689.022,772.4798,2304.9473,438.27872,7488.4443
-5522.3193,-60.760605,5257.5054,-11046.15,-2577.126,-304.68854,-3470.2036,5652.0757,-1269.1813,-1341.6698,-1846.6111,6998.296,9974.363
5964.409,6453.936,23810.717,-16430.7,-4184.492,-3870.2537,-2915.7708,2301.6245,-17192.355,-3223.103,-4433.716,655.07556,7847.3677
40152.64,2481.5054,-24138.3,-11763.689,14425.209,-2982.4084,4567.184,6499.0366,-2572.4236,-2406.4548,-2145.9695,6355.664,11195.4
-12937.402,-4367.172,24557.441,-13545.105,-4337.057,-2222.4302,-3444.0913,4000.5728,-12232.646,-1097.9805,-1605.8014,7993.173,8777.212
29121.135,-4235.2593,-2149.762,-11321.591,5225.2725,6553.807,267.7768,1965.3727,1543.8802,1007.26166,2470.7173,-5315.4946,-12700.372
9667.233,-1149.5795,-11660.481,-11472.579,-5264.4146,-12396.133,747.47253,399.1392,-4152.521,-208.91675,571.76044,-4305.091,-11741.781
-11322.352,-3234.2454,27036.434,-8135.426,6387.06,12129.856,3959.87,3528.0803,3593.51,-380.26663,718.3987,-5844.9595,-15315.531
9627.105,2978.922,-10216.516,-12027.097,-1472.3998,-4647.136,483.18945,-7127.302,-2607.5771,963.5732,2402.8303,-4567.428,-4780.3296
13583.179,-2214.7407,29234.723,-12370.692,6976.6953,-3362.9443,3023.423,-7661.8145,-1227.6603,605.6126,3004.2405,-2128.472,5936.8223
10136.919,-5755.3735,-9927.179,-13561.751,-2734.553,-3971.537,-1341.0748,3670.3926,-3295.4656,-1431.875,-3838.6375,6180.029,8011.7676
47420.992,-5954.6084,4131.8794,-19543.367,-2157.7544,-3859.6824,-3138.6497,4348.2183,-23690.693,671.7847,273.9339,-7067.7075,-11682.39
-65469.836,-1965.7845,16476.24,-10822.325,4.6127024,-8995.935,1523.2219,-3969.1584,-4635.0635,493.54105,1310.4509,-1636.3506,3066.6213
-9827.573,1646.5028,-8235.509,-8086.3457,2191.0522,12850.424,1617.4463,1506.9749,470.5561,784.8489,647.21497,-4800.2246,-10320.471
-38548.832,-5870.6543,-16797.42,-7367.1475,4005.135,7935.0464,-929.4821,1213.8024,-13032.769,337.9341,-88.8423,2709.8118,6051.026
7274.684,-4414.7554,-3843.4434,-11371.323,-3518.8718,-8638.259,1259.7164,846.4566,-2577.8347,-136.56963,303.70074,-4270.1235,-11956.2705
-5842.8345,2428.032,30951.639,-12615.312,1412.1792,6479.379,-2536.094,-5264.663,-14015.1875,1080.0403,587.5219,-4974.9644,-10158.433
13933.66,2232.622,18524.594,-11782.758,-2670.6375,568.4675,-330.21185,6363.837,-1792.4944,-2257.5823,-7569.3657,360.21085,8591.217
28970.98,-3594.5715,6306.936,45030.125,-5684.3345,-4079.564,-378.5666,1961.0508,6948.995,-650.38104,-3806.8005,-4382.479,-12488.206
690.7268,-2530.743,-13141.836,-5827.0225,-5831.02,-4828.1196,-2027.3981,-4323.355,-1203.956,929.54114,1688.0134,-3744.3923,-2233.5977
20182.727,-962.0293,-4757.6206,-7719.7266,18226.55,37152.99,4443.768,11348.654,14167.287,-1698.1384,-2586.5369,8752.569,14551.487
-21638.172,-6643.7085,-11142.308,-8160.078,-1986.7411,-4391.541,96.2808,-5072.182,-3326.5085,-192.64143,-2364.7754,-4597.1987,-10313.514
-13926.678,-5192.0464,-11902.671,-8270.794,-2659.2402,-731.0363,-3235.033,1103.4829,1652.2611,872.12616,1142.3685,-3783.0266,-7656.718
-8218.615,4612.233,-7607.012,-15369.516,4013.7747,-5428.9624,-4523.271,-10333.091,-2551.1348,-1204.4547,-1563.3411,5532.103,9296.712
9866.845,-2282.081,-3905.9592,-10957.64,7808.1016,19917.883,4365.864,2266.5286,7072.243,-2233.9407,-844.3647,13572.618,15589.327
