region,year,n,r2,mape,median_ape
전체,2019,74896,0.9658480067631712,0.056245474173840126,0.03743430632344066
전체,2020,83916,0.9555325452801883,0.06341139170987797,0.041220099435235
전체,2021,43379,0.931071122932091,0.07498169772786255,0.04535538719912595
전체,2022,12788,0.8923016691353519,0.10138014694763066,0.054728550900209574
전체,2023,35565,0.9478880395567598,0.06300532492548042,0.03659109939802963
전체,2024,57710,0.9658195807849358,0.05436568975839635,0.03303603301670198
전체,2025,83572,0.962356432828282,0.058438310762547505,0.03576735478406537
강남3구,2019,13619,0.9617792744512208,0.04786129710022154,0.02809242953171347
강남3구,2020,11619,0.9513449123994586,0.0557734589625578,0.03352536182983369
강남3구,2021,6585,0.9319599453175711,0.06892139153112505,0.036982890918703104
강남3구,2022,2288,0.8570552207648716,0.1053628717932246,0.04879301011010538
강남3구,2023,6678,0.932787568625902,0.05756532201522053,0.030847137833773776
강남3구,2024,11213,0.9522715456753288,0.05054421194155218,0.02664447014693738
강남3구,2025,13075,0.954177399757821,0.05953666284246697,0.032286392231107366
비강남,2019,61277,0.951236799265773,0.053777931019948336,0.035278892138570314
비강남,2020,72297,0.9433893276752923,0.06119220784671047,0.040307733695972896
비강남,2021,36794,0.9186435185743348,0.07041332707789483,0.04276791010611087
비강남,2022,10500,0.8572184721756303,0.09512105749598639,0.05344803681839133
비강남,2023,28887,0.9218828851627682,0.06351272274325116,0.0368836678169469
비강남,2024,46497,0.9489010162190348,0.05381362436486675,0.03182106468981716
비강남,2025,70497,0.956921728537067,0.05291156027770235,0.0328432291599959
